"Supplementary Table S10. Read-level sensitivity of different model architectures on variable-length reads simulated from 3,269 MAGs excluded from training",,,,,,,
MAG_ID_ENA,ResNet-like CNN,CNN + LSTM,Seq2species,Embed + Pool,Embed + CNN,Embed + LSTM,Embed + LSTM + Attention
MAG-GUT28677,0.000,0.000,0.000,0.252,0.043,0.464,0.667
MAG-GUT2867,0.000,0.000,0.000,0.014,0.002,0.038,0.306
MAG-GUT28702,0.000,0.000,0.000,0.268,0.043,0.501,0.707
MAG-GUT28721,0.000,0.000,0.000,0.060,0.005,0.207,0.529
MAG-GUT28738,0.000,0.000,0.000,0.065,0.005,0.212,0.536
MAG-GUT2873,0.000,0.000,0.001,0.207,0.057,0.441,0.772
MAG-GUT2874,0.000,0.000,0.000,0.000,0.000,0.008,0.161
MAG-GUT28806,0.000,0.000,0.000,0.002,0.000,0.041,0.270
MAG-GUT2884,0.000,0.000,0.000,0.006,0.000,0.033,0.291
MAG-GUT28915,0.000,0.000,0.000,0.162,0.006,0.294,0.769
MAG-GUT28960,0.000,0.001,0.007,0.219,0.072,0.437,0.671
MAG-GUT28964,0.000,0.000,0.008,0.214,0.071,0.439,0.661
MAG-GUT28976,0.000,0.001,0.008,0.221,0.068,0.435,0.658
MAG-GUT28983,0.000,0.000,0.000,0.000,0.000,0.019,0.340
MAG-GUT29001,0.000,0.001,0.007,0.221,0.067,0.440,0.657
MAG-GUT29051,0.000,0.023,0.055,0.601,0.533,0.783,0.921
MAG-GUT29076,0.000,0.026,0.054,0.597,0.528,0.766,0.902
MAG-GUT29111,0.000,0.000,0.000,0.004,0.000,0.032,0.289
MAG-GUT29134,0.000,0.000,0.000,0.004,0.000,0.035,0.306
MAG-GUT2914,0.000,0.000,0.000,0.005,0.000,0.034,0.281
MAG-GUT29175,0.000,0.000,0.000,0.277,0.045,0.503,0.716
MAG-GUT29189,0.000,0.000,0.000,0.052,0.001,0.150,0.542
MAG-GUT29214,0.000,0.000,0.000,0.054,0.002,0.154,0.563
MAG-GUT29221,0.000,0.000,0.000,0.054,0.001,0.147,0.544
MAG-GUT29239,0.000,0.000,0.000,0.155,0.025,0.231,0.424
MAG-GUT29293,0.000,0.000,0.000,0.008,0.000,0.022,0.178
MAG-GUT29345,0.000,0.000,0.000,0.004,0.001,0.027,0.257
MAG-GUT29364,0.000,0.000,0.000,0.007,0.000,0.037,0.205
MAG-GUT29376,0.000,0.000,0.000,0.004,0.000,0.028,0.259
MAG-GUT2937,0.000,0.000,0.000,0.220,0.033,0.424,0.684
MAG-GUT29414,0.000,0.000,0.000,0.009,0.000,0.055,0.226
MAG-GUT29476,0.000,0.000,0.000,0.078,0.003,0.198,0.685
MAG-GUT29483,0.000,0.000,0.000,0.065,0.006,0.140,0.363
MAG-GUT29494,0.000,0.000,0.000,0.012,0.000,0.062,0.221
MAG-GUT29515,0.000,0.000,0.000,0.276,0.047,0.501,0.718
MAG-GUT29557,0.000,0.000,0.000,0.033,0.000,0.112,0.470
MAG-GUT29569,0.000,0.000,0.000,0.253,0.043,0.469,0.665
MAG-GUT29582,0.000,0.000,0.000,0.117,0.022,0.192,0.427
MAG-GUT29587,0.000,0.002,0.006,0.169,0.030,0.400,0.743
MAG-GUT29600,0.000,0.000,0.001,0.071,0.008,0.175,0.420
MAG-GUT2965,0.000,0.000,0.000,0.002,0.001,0.010,0.212
MAG-GUT29781,0.000,0.001,0.006,0.097,0.013,0.236,0.504
MAG-GUT29784,0.000,0.000,0.000,0.031,0.010,0.134,0.403
MAG-GUT29812,0.000,0.000,0.000,0.005,0.001,0.030,0.255
MAG-GUT29856,0.000,0.001,0.007,0.107,0.014,0.252,0.510
MAG-GUT29860,0.000,0.002,0.017,0.024,0.005,0.091,0.330
MAG-GUT29870,0.000,0.000,0.000,0.033,0.008,0.122,0.382
MAG-GUT29878,0.000,0.000,0.017,0.032,0.017,0.136,0.470
MAG-GUT29885,0.000,0.000,0.000,0.004,0.000,0.028,0.229
MAG-GUT29911,0.000,0.000,0.000,0.120,0.020,0.186,0.427
MAG-GUT29933,0.000,0.000,0.000,0.004,0.000,0.024,0.240
MAG-GUT29963,0.000,0.000,0.000,0.039,0.000,0.144,0.560
MAG-GUT30085,0.000,0.000,0.000,0.027,0.001,0.152,0.595
MAG-GUT30091,0.000,0.000,0.000,0.002,0.000,0.039,0.263
MAG-GUT30098,0.000,0.000,0.000,0.007,0.004,0.056,0.155
MAG-GUT30099,0.000,0.000,0.000,0.000,0.000,0.017,0.354
MAG-GUT30102,0.000,0.000,0.000,0.011,0.000,0.045,0.217
MAG-GUT30142,0.000,0.001,0.014,0.180,0.045,0.270,0.423
MAG-GUT30268,0.000,0.000,0.000,0.006,0.001,0.026,0.256
MAG-GUT30319,0.000,0.000,0.000,0.002,0.000,0.024,0.351
MAG-GUT30323,0.000,0.000,0.001,0.005,0.000,0.039,0.321
MAG-GUT30383,0.000,0.002,0.015,0.174,0.038,0.260,0.424
MAG-GUT30439,0.000,0.000,0.000,0.026,0.005,0.090,0.427
MAG-GUT30448,0.000,0.000,0.000,0.006,0.001,0.033,0.292
MAG-GUT30479,0.000,0.000,0.000,0.024,0.007,0.089,0.420
MAG-GUT30522,0.000,0.000,0.000,0.005,0.001,0.027,0.242
MAG-GUT30539,0.000,0.000,0.000,0.143,0.064,0.357,0.555
MAG-GUT30560,0.000,0.000,0.000,0.005,0.000,0.026,0.236
MAG-GUT30581,0.000,0.002,0.006,0.106,0.015,0.251,0.539
MAG-GUT30604,0.000,0.000,0.000,0.060,0.006,0.127,0.353
MAG-GUT30639,0.001,0.112,0.243,0.550,0.374,0.661,0.786
MAG-GUT30699,0.000,0.003,0.007,0.148,0.026,0.356,0.655
MAG-GUT30728,0.000,0.002,0.013,0.175,0.037,0.262,0.435
MAG-GUT308,0.000,0.002,0.014,0.246,0.058,0.418,0.650
MAG-GUT3090,0.000,0.000,0.000,0.165,0.032,0.260,0.541
MAG-GUT30970,0.000,0.002,0.014,0.177,0.038,0.258,0.427
MAG-GUT31002,0.000,0.000,0.000,0.013,0.002,0.031,0.255
MAG-GUT31010,0.000,0.000,0.000,0.006,0.001,0.034,0.294
MAG-GUT31018,0.000,0.000,0.000,0.139,0.033,0.230,0.486
MAG-GUT31079,0.000,0.000,0.000,0.006,0.000,0.034,0.307
MAG-GUT31093,0.000,0.002,0.007,0.158,0.027,0.375,0.697
MAG-GUT3110,0.000,0.000,0.000,0.068,0.005,0.137,0.379
MAG-GUT31138,0.000,0.002,0.016,0.252,0.086,0.377,0.547
MAG-GUT31232,0.000,0.000,0.000,0.005,0.000,0.032,0.223
MAG-GUT31235,0.000,0.000,0.002,0.081,0.008,0.177,0.468
MAG-GUT31276,0.000,0.000,0.000,0.263,0.041,0.481,0.695
MAG-GUT31302,0.000,0.002,0.006,0.092,0.012,0.248,0.519
MAG-GUT31303,0.000,0.001,0.000,0.120,0.026,0.272,0.574
MAG-GUT31343,0.000,0.000,0.000,0.006,0.000,0.030,0.207
MAG-GUT31431,0.000,0.000,0.000,0.003,0.001,0.018,0.060
MAG-GUT31433,0.000,0.000,0.000,0.004,0.000,0.027,0.237
MAG-GUT31502,0.000,0.000,0.000,0.113,0.008,0.254,0.617
MAG-GUT31519,0.000,0.001,0.027,0.144,0.075,0.264,0.486
MAG-GUT31529,0.000,0.000,0.000,0.004,0.000,0.034,0.289
MAG-GUT31533,0.000,0.000,0.000,0.024,0.004,0.095,0.446
MAG-GUT31540,0.000,0.000,0.000,0.013,0.002,0.029,0.271
MAG-GUT31546,0.000,0.000,0.000,0.158,0.077,0.329,0.626
MAG-GUT31555,0.000,0.000,0.000,0.006,0.000,0.039,0.227
MAG-GUT31580,0.000,0.000,0.000,0.005,0.000,0.033,0.288
MAG-GUT31702,0.000,0.000,0.000,0.255,0.042,0.464,0.655
MAG-GUT31741,0.000,0.000,0.000,0.008,0.001,0.028,0.309
MAG-GUT3175,0.000,0.000,0.000,0.006,0.000,0.035,0.272
MAG-GUT31783,0.000,0.000,0.000,0.003,0.000,0.024,0.242
MAG-GUT31785,0.000,0.033,0.049,0.233,0.041,0.319,0.548
MAG-GUT317,0.000,0.000,0.000,0.011,0.002,0.028,0.265
MAG-GUT31802,0.000,0.008,0.033,0.215,0.029,0.290,0.558
MAG-GUT31872,0.000,0.000,0.000,0.139,0.063,0.286,0.526
MAG-GUT31931,0.000,0.000,0.000,0.008,0.004,0.054,0.147
MAG-GUT32002,0.000,0.000,0.000,0.007,0.001,0.045,0.368
MAG-GUT32018,0.000,0.000,0.000,0.009,0.001,0.043,0.349
MAG-GUT32053,0.000,0.000,0.000,0.000,0.000,0.014,0.279
MAG-GUT32102,0.000,0.000,0.000,0.006,0.001,0.036,0.212
MAG-GUT32106,0.000,0.002,0.007,0.179,0.032,0.414,0.752
MAG-GUT32130,0.000,0.000,0.000,0.008,0.001,0.068,0.390
MAG-GUT3213,0.000,0.000,0.000,0.006,0.001,0.033,0.288
MAG-GUT32169,0.000,0.000,0.002,0.075,0.008,0.174,0.524
MAG-GUT32170,0.000,0.000,0.000,0.009,0.000,0.050,0.441
MAG-GUT32215,0.000,0.003,0.014,0.173,0.039,0.254,0.425
MAG-GUT32242,0.000,0.000,0.000,0.006,0.000,0.080,0.424
MAG-GUT32255,0.000,0.000,0.000,0.004,0.001,0.033,0.224
MAG-GUT3231,0.000,0.000,0.000,0.019,0.004,0.115,0.429
MAG-GUT32339,0.000,0.000,0.000,0.005,0.000,0.033,0.236
MAG-GUT3233,0.000,0.000,0.000,0.018,0.003,0.112,0.435
MAG-GUT32343,0.000,0.000,0.000,0.058,0.010,0.206,0.491
MAG-GUT32351,0.000,0.000,0.000,0.006,0.000,0.033,0.224
MAG-GUT32354,0.000,0.000,0.000,0.014,0.000,0.075,0.341
MAG-GUT32356,0.000,0.000,0.000,0.106,0.008,0.252,0.587
MAG-GUT32383,0.000,0.000,0.000,0.005,0.000,0.027,0.285
MAG-GUT32404,0.000,0.000,0.000,0.010,0.001,0.043,0.199
MAG-GUT32425,0.000,0.000,0.000,0.008,0.001,0.064,0.390
MAG-GUT32469,0.000,0.000,0.000,0.171,0.080,0.358,0.663
MAG-GUT32470,0.000,0.008,0.032,0.378,0.093,0.515,0.833
MAG-GUT32509,0.000,0.000,0.000,0.012,0.001,0.050,0.244
MAG-GUT32544,0.000,0.000,0.000,0.151,0.075,0.382,0.598
MAG-GUT32557,0.000,0.000,0.000,0.007,0.004,0.060,0.168
MAG-GUT32575,0.000,0.001,0.017,0.156,0.040,0.243,0.391
MAG-GUT32583,0.000,0.000,0.000,0.071,0.008,0.149,0.391
MAG-GUT32588,0.000,0.000,0.000,0.020,0.003,0.048,0.368
MAG-GUT32654,0.000,0.000,0.000,0.136,0.029,0.303,0.652
MAG-GUT32667,0.000,0.001,0.000,0.004,0.004,0.012,0.205
MAG-GUT32691,0.000,0.000,0.000,0.055,0.002,0.267,0.744
MAG-GUT32779,0.000,0.000,0.000,0.017,0.000,0.070,0.375
MAG-GUT32792,0.000,0.000,0.000,0.063,0.006,0.134,0.364
MAG-GUT32803,0.000,0.000,0.000,0.131,0.020,0.194,0.383
MAG-GUT32879,0.000,0.000,0.000,0.016,0.002,0.048,0.218
MAG-GUT32882,0.000,0.000,0.000,0.006,0.003,0.026,0.279
MAG-GUT32889,0.000,0.000,0.000,0.102,0.007,0.242,0.597
MAG-GUT32902,0.000,0.000,0.000,0.103,0.008,0.250,0.602
MAG-GUT32929,0.000,0.000,0.000,0.015,0.002,0.033,0.279
MAG-GUT32939,0.000,0.000,0.000,0.005,0.000,0.033,0.269
MAG-GUT32966,0.000,0.001,0.016,0.164,0.037,0.252,0.411
MAG-GUT32970,0.000,0.000,0.000,0.002,0.001,0.010,0.201
MAG-GUT3301,0.000,0.000,0.000,0.016,0.004,0.120,0.427
MAG-GUT33032,0.000,0.000,0.000,0.005,0.000,0.030,0.244
MAG-GUT33095,0.000,0.000,0.000,0.007,0.004,0.055,0.162
MAG-GUT3315,0.000,0.000,0.000,0.019,0.000,0.055,0.430
MAG-GUT3323,0.000,0.000,0.000,0.018,0.004,0.112,0.435
MAG-GUT33244,0.000,0.000,0.000,0.012,0.000,0.058,0.226
MAG-GUT33270,0.000,0.000,0.000,0.003,0.000,0.012,0.336
MAG-GUT33324,0.000,0.000,0.000,0.009,0.000,0.044,0.217
MAG-GUT33329,0.000,0.000,0.000,0.013,0.002,0.028,0.255
MAG-GUT33356,0.000,0.000,0.000,0.010,0.004,0.055,0.161
MAG-GUT33386,0.000,0.001,0.000,0.004,0.003,0.013,0.212
MAG-GUT33415,0.000,0.000,0.000,0.073,0.006,0.146,0.388
MAG-GUT33443,0.000,0.000,0.001,0.005,0.001,0.029,0.263
MAG-GUT33511,0.000,0.001,0.006,0.095,0.013,0.238,0.522
MAG-GUT33530,0.000,0.031,0.049,0.231,0.044,0.324,0.547
MAG-GUT33557,0.000,0.000,0.000,0.014,0.000,0.075,0.257
MAG-GUT33566,0.000,0.000,0.000,0.039,0.000,0.129,0.517
MAG-GUT33569,0.000,0.000,0.000,0.009,0.000,0.059,0.207
MAG-GUT335,0.000,0.000,0.000,0.156,0.033,0.252,0.529
MAG-GUT33604,0.000,0.000,0.000,0.295,0.154,0.468,0.822
MAG-GUT33640,0.000,0.002,0.012,0.172,0.040,0.261,0.417
MAG-GUT33657,0.000,0.000,0.016,0.034,0.015,0.129,0.460
MAG-GUT33658,0.000,0.000,0.000,0.047,0.004,0.097,0.265
MAG-GUT33659,0.000,0.000,0.000,0.005,0.000,0.032,0.281
MAG-GUT336,0.000,0.000,0.000,0.016,0.000,0.068,0.376
MAG-GUT3377,0.000,0.000,0.000,0.022,0.000,0.079,0.292
MAG-GUT33836,0.000,0.001,0.011,0.210,0.067,0.332,0.602
MAG-GUT33845,0.000,0.000,0.000,0.005,0.000,0.035,0.299
MAG-GUT33885,0.000,0.000,0.000,0.005,0.000,0.032,0.288
MAG-GUT33906,0.000,0.000,0.000,0.071,0.007,0.152,0.407
MAG-GUT33914,0.000,0.000,0.000,0.103,0.008,0.333,0.638
MAG-GUT33983,0.000,0.000,0.000,0.004,0.000,0.026,0.241
MAG-GUT34183,0.000,0.000,0.000,0.079,0.007,0.168,0.434
MAG-GUT34193,0.000,0.000,0.000,0.006,0.000,0.038,0.213
MAG-GUT34206,0.000,0.000,0.000,0.066,0.016,0.283,0.782
MAG-GUT34223,0.000,0.000,0.001,0.007,0.000,0.035,0.283
MAG-GUT34245,0.000,0.002,0.010,0.203,0.063,0.325,0.590
MAG-GUT34249,0.000,0.000,0.000,0.005,0.000,0.032,0.306
MAG-GUT3427,0.000,0.000,0.000,0.000,0.000,0.013,0.206
MAG-GUT3435,0.000,0.000,0.000,0.001,0.000,0.012,0.204
MAG-GUT34421,0.000,0.000,0.001,0.058,0.011,0.284,0.775
MAG-GUT34513,0.000,0.000,0.000,0.063,0.013,0.283,0.781
MAG-GUT34540,0.000,0.001,0.011,0.201,0.065,0.327,0.591
MAG-GUT34569,0.000,0.000,0.000,0.050,0.003,0.099,0.280
MAG-GUT34592,0.000,0.000,0.000,0.075,0.008,0.152,0.390
MAG-GUT34594,0.000,0.000,0.000,0.014,0.000,0.073,0.275
MAG-GUT34600,0.000,0.000,0.000,0.060,0.000,0.146,0.410
MAG-GUT34661,0.000,0.000,0.000,0.005,0.000,0.035,0.296
MAG-GUT34689,0.000,0.000,0.000,0.077,0.009,0.165,0.433
MAG-GUT34724,0.000,0.000,0.001,0.056,0.000,0.133,0.388
MAG-GUT3474,0.000,0.000,0.000,0.007,0.000,0.101,0.501
MAG-GUT34763,0.000,0.000,0.000,0.006,0.000,0.031,0.306
MAG-GUT34778,0.000,0.000,0.001,0.058,0.015,0.283,0.771
MAG-GUT3477,0.000,0.000,0.000,0.007,0.001,0.048,0.239
MAG-GUT3478,0.000,0.000,0.000,0.032,0.008,0.125,0.630
MAG-GUT3479,0.000,0.000,0.000,0.007,0.001,0.050,0.232
MAG-GUT34803,0.000,0.000,0.000,0.005,0.000,0.028,0.236
MAG-GUT3480,0.000,0.000,0.000,0.007,0.000,0.099,0.495
MAG-GUT34814,0.000,0.000,0.000,0.005,0.000,0.036,0.300
MAG-GUT34834,0.000,0.000,0.000,0.006,0.000,0.034,0.305
MAG-GUT3484,0.000,0.000,0.000,0.003,0.000,0.031,0.426
MAG-GUT34892,0.000,0.000,0.000,0.004,0.000,0.026,0.241
MAG-GUT34932,0.000,0.000,0.000,0.003,0.001,0.016,0.057
MAG-GUT34937,0.000,0.000,0.000,0.004,0.000,0.033,0.272
MAG-GUT3493,0.000,0.000,0.000,0.003,0.000,0.026,0.405
MAG-GUT34945,0.000,0.001,0.012,0.198,0.068,0.328,0.599
MAG-GUT34992,0.000,0.000,0.000,0.005,0.000,0.034,0.296
MAG-GUT3499,0.000,0.000,0.000,0.003,0.000,0.023,0.367
MAG-GUT35070,0.000,0.000,0.000,0.006,0.001,0.033,0.282
MAG-GUT35087,0.000,0.000,0.000,0.011,0.001,0.039,0.209
MAG-GUT3508,0.000,0.000,0.000,0.003,0.000,0.027,0.411
MAG-GUT35150,0.000,0.000,0.000,0.006,0.000,0.033,0.299
MAG-GUT35198,0.000,0.000,0.000,0.016,0.000,0.081,0.270
MAG-GUT35206,0.000,0.000,0.000,0.011,0.000,0.040,0.202
MAG-GUT35223,0.000,0.000,0.000,0.006,0.000,0.040,0.220
MAG-GUT35231,0.000,0.000,0.001,0.062,0.012,0.286,0.785
MAG-GUT35271,0.000,0.000,0.000,0.015,0.000,0.079,0.277
MAG-GUT35302,0.000,0.000,0.000,0.006,0.001,0.034,0.292
MAG-GUT3531,0.000,0.000,0.000,0.001,0.000,0.019,0.257
MAG-GUT35394,0.000,0.000,0.000,0.042,0.000,0.138,0.548
MAG-GUT35418,0.000,0.000,0.000,0.005,0.000,0.030,0.254
MAG-GUT35486,0.000,0.000,0.000,0.004,0.001,0.037,0.234
MAG-GUT3548,0.000,0.000,0.000,0.021,0.003,0.122,0.469
MAG-GUT3553,0.000,0.000,0.000,0.003,0.000,0.026,0.414
MAG-GUT35547,0.000,0.000,0.000,0.005,0.000,0.033,0.287
MAG-GUT35591,0.000,0.003,0.017,0.025,0.004,0.093,0.337
MAG-GUT35597,0.000,0.000,0.000,0.009,0.000,0.039,0.193
MAG-GUT3561,0.000,0.000,0.000,0.018,0.003,0.114,0.452
MAG-GUT35625,0.000,0.000,0.000,0.001,0.000,0.019,0.349
MAG-GUT35626,0.000,0.000,0.000,0.033,0.009,0.138,0.403
MAG-GUT35629,0.000,0.000,0.000,0.004,0.000,0.028,0.252
MAG-GUT35641,0.000,0.000,0.000,0.031,0.000,0.112,0.451
MAG-GUT35683,0.000,0.000,0.000,0.006,0.000,0.041,0.344
MAG-GUT35732,0.000,0.000,0.000,0.012,0.002,0.029,0.267
MAG-GUT35747,0.000,0.000,0.000,0.002,0.000,0.014,0.349
MAG-GUT35760,0.000,0.000,0.000,0.006,0.000,0.026,0.311
MAG-GUT35789,0.000,0.000,0.000,0.004,0.000,0.034,0.273
MAG-GUT35807,0.000,0.001,0.000,0.078,0.026,0.185,0.424
MAG-GUT35824,0.000,0.000,0.000,0.002,0.000,0.028,0.370
MAG-GUT35837,0.000,0.002,0.016,0.173,0.037,0.263,0.425
MAG-GUT35871,0.000,0.000,0.000,0.014,0.002,0.028,0.281
MAG-GUT35918,0.000,0.000,0.000,0.005,0.003,0.016,0.227
MAG-GUT35922,0.000,0.000,0.001,0.076,0.008,0.175,0.444
MAG-GUT35934,0.000,0.000,0.000,0.004,0.000,0.028,0.258
MAG-GUT35935,0.000,0.003,0.015,0.169,0.042,0.251,0.409
MAG-GUT35943,0.000,0.000,0.000,0.015,0.002,0.032,0.267
MAG-GUT35945,0.000,0.000,0.000,0.008,0.004,0.054,0.157
MAG-GUT35948,0.000,0.000,0.000,0.001,0.000,0.008,0.266
MAG-GUT35964,0.000,0.002,0.016,0.260,0.090,0.373,0.547
MAG-GUT36009,0.000,0.000,0.000,0.022,0.002,0.064,0.390
MAG-GUT36027,0.000,0.000,0.001,0.029,0.004,0.168,0.511
MAG-GUT36037,0.000,0.000,0.001,0.176,0.030,0.243,0.526
MAG-GUT36103,0.000,0.000,0.000,0.016,0.003,0.066,0.254
MAG-GUT36136,0.000,0.000,0.000,0.020,0.001,0.072,0.278
MAG-GUT36138,0.000,0.000,0.000,0.058,0.002,0.238,0.581
MAG-GUT36139,0.000,0.000,0.000,0.008,0.002,0.027,0.282
MAG-GUT36148,0.000,0.000,0.000,0.153,0.068,0.317,0.588
MAG-GUT36218,0.000,0.000,0.000,0.040,0.000,0.134,0.546
MAG-GUT36222,0.000,0.000,0.000,0.005,0.000,0.033,0.296
MAG-GUT3624,0.000,0.000,0.000,0.043,0.011,0.149,0.447
MAG-GUT36301,0.000,0.000,0.000,0.008,0.002,0.031,0.262
MAG-GUT3630,0.000,0.000,0.000,0.004,0.000,0.019,0.234
MAG-GUT3631,0.000,0.000,0.000,0.054,0.000,0.129,0.357
MAG-GUT36419,0.000,0.000,0.000,0.011,0.001,0.049,0.379
MAG-GUT36441,0.000,0.000,0.000,0.009,0.000,0.034,0.169
MAG-GUT3651,0.000,0.000,0.000,0.012,0.000,0.043,0.211
MAG-GUT36569,0.000,0.000,0.000,0.005,0.000,0.041,0.346
MAG-GUT36571,0.000,0.000,0.000,0.015,0.001,0.033,0.277
MAG-GUT36577,0.000,0.000,0.000,0.001,0.000,0.020,0.356
MAG-GUT36580,0.000,0.000,0.000,0.014,0.007,0.085,0.241
MAG-GUT36616,0.000,0.000,0.000,0.140,0.066,0.350,0.541
MAG-GUT36683,0.000,0.000,0.000,0.007,0.000,0.043,0.232
MAG-GUT36692,0.000,0.000,0.000,0.011,0.001,0.046,0.223
MAG-GUT36712,0.000,0.000,0.000,0.072,0.007,0.149,0.386
MAG-GUT36733,0.000,0.000,0.000,0.013,0.002,0.030,0.241
MAG-GUT3674,0.000,0.000,0.000,0.036,0.011,0.139,0.411
MAG-GUT36756,0.000,0.000,0.000,0.080,0.068,0.314,0.607
MAG-GUT36772,0.000,0.000,0.001,0.146,0.032,0.311,0.597
MAG-GUT36794,0.000,0.000,0.013,0.124,0.037,0.254,0.444
MAG-GUT36796,0.000,0.000,0.000,0.014,0.002,0.031,0.267
MAG-GUT36799,0.000,0.000,0.000,0.154,0.035,0.345,0.639
MAG-GUT36814,0.000,0.000,0.001,0.036,0.001,0.124,0.446
MAG-GUT36916,0.000,0.000,0.000,0.001,0.000,0.018,0.225
MAG-GUT36922,0.000,0.000,0.000,0.034,0.009,0.132,0.407
MAG-GUT36962,0.000,0.000,0.000,0.067,0.005,0.143,0.388
MAG-GUT36998,0.000,0.001,0.006,0.173,0.030,0.402,0.730
MAG-GUT37024,0.000,0.000,0.000,0.014,0.000,0.062,0.241
MAG-GUT3702,0.000,0.000,0.000,0.010,0.000,0.039,0.205
MAG-GUT37063,0.000,0.000,0.000,0.033,0.008,0.121,0.385
MAG-GUT37077,0.000,0.000,0.000,0.007,0.001,0.032,0.293
MAG-GUT37090,0.000,0.000,0.000,0.063,0.006,0.205,0.538
MAG-GUT3710,0.000,0.001,0.007,0.171,0.030,0.394,0.746
MAG-GUT37154,0.000,0.000,0.000,0.009,0.000,0.035,0.195
MAG-GUT37167,0.000,0.001,0.000,0.092,0.043,0.201,0.445
MAG-GUT37176,0.000,0.002,0.006,0.095,0.013,0.241,0.512
MAG-GUT37194,0.000,0.000,0.000,0.008,0.002,0.037,0.304
MAG-GUT37249,0.000,0.001,0.008,0.233,0.073,0.464,0.688
MAG-GUT37277,0.000,0.000,0.000,0.049,0.006,0.207,0.560
MAG-GUT37279,0.000,0.002,0.006,0.104,0.012,0.265,0.560
MAG-GUT37376,0.000,0.002,0.007,0.152,0.027,0.347,0.659
MAG-GUT37378,0.000,0.001,0.005,0.236,0.080,0.326,0.519
MAG-GUT37384,0.000,0.000,0.000,0.035,0.008,0.135,0.403
MAG-GUT37389,0.000,0.000,0.000,0.033,0.000,0.119,0.480
MAG-GUT37401,0.000,0.000,0.000,0.010,0.001,0.028,0.262
MAG-GUT37445,0.000,0.000,0.000,0.020,0.000,0.074,0.290
MAG-GUT3745,0.000,0.000,0.001,0.054,0.000,0.140,0.390
MAG-GUT3747,0.000,0.000,0.000,0.041,0.008,0.148,0.439
MAG-GUT374,0.000,0.000,0.000,0.018,0.004,0.066,0.347
MAG-GUT37542,0.000,0.000,0.000,0.066,0.005,0.138,0.368
MAG-GUT37553,0.000,0.000,0.001,0.188,0.030,0.252,0.544
MAG-GUT37559,0.000,0.000,0.000,0.152,0.023,0.209,0.398
MAG-GUT37563,0.000,0.000,0.000,0.003,0.002,0.012,0.208
MAG-GUT37626,0.000,0.000,0.000,0.003,0.000,0.026,0.247
MAG-GUT37689,0.000,0.001,0.006,0.178,0.030,0.401,0.743
MAG-GUT37747,0.000,0.000,0.000,0.006,0.000,0.028,0.252
MAG-GUT37758,0.000,0.000,0.000,0.033,0.001,0.105,0.502
MAG-GUT37818,0.000,0.001,0.007,0.222,0.076,0.456,0.690
MAG-GUT37858,0.000,0.000,0.000,0.032,0.001,0.098,0.467
MAG-GUT37870,0.000,0.002,0.016,0.171,0.037,0.260,0.411
MAG-GUT37878,0.000,0.003,0.018,0.023,0.005,0.086,0.336
MAG-GUT37917,0.000,0.000,0.000,0.021,0.002,0.103,0.462
MAG-GUT37934,0.000,0.000,0.000,0.009,0.000,0.040,0.202
MAG-GUT37939,0.000,0.000,0.000,0.016,0.000,0.088,0.374
MAG-GUT37942,0.000,0.003,0.010,0.217,0.047,0.312,0.534
MAG-GUT37950,0.000,0.000,0.000,0.074,0.007,0.160,0.405
MAG-GUT37961,0.000,0.000,0.000,0.015,0.005,0.047,0.185
MAG-GUT37976,0.000,0.000,0.000,0.074,0.002,0.188,0.640
MAG-GUT379,0.000,0.000,0.000,0.013,0.002,0.029,0.265
MAG-GUT38016,0.000,0.000,0.001,0.148,0.068,0.299,0.565
MAG-GUT38052,0.000,0.000,0.000,0.005,0.000,0.031,0.280
MAG-GUT38093,0.000,0.000,0.000,0.007,0.001,0.022,0.177
MAG-GUT38145,0.000,0.001,0.008,0.211,0.040,0.319,0.532
MAG-GUT38177,0.000,0.000,0.000,0.003,0.000,0.026,0.240
MAG-GUT38182,0.000,0.000,0.000,0.031,0.009,0.122,0.373
MAG-GUT38231,0.000,0.002,0.010,0.107,0.014,0.165,0.314
MAG-GUT38263,0.000,0.000,0.000,0.011,0.000,0.062,0.222
MAG-GUT38358,0.000,0.000,0.000,0.006,0.000,0.045,0.358
MAG-GUT38435,0.000,0.000,0.000,0.007,0.000,0.042,0.348
MAG-GUT38485,0.000,0.000,0.000,0.136,0.029,0.227,0.498
MAG-GUT3853,0.000,0.000,0.000,0.001,0.000,0.017,0.279
MAG-GUT38547,0.000,0.000,0.000,0.008,0.003,0.056,0.159
MAG-GUT38551,0.000,0.001,0.001,0.073,0.025,0.175,0.422
MAG-GUT38584,0.000,0.000,0.000,0.010,0.001,0.041,0.210
MAG-GUT38585,0.000,0.000,0.001,0.081,0.009,0.174,0.448
MAG-GUT38587,0.000,0.001,0.000,0.003,0.002,0.013,0.216
MAG-GUT38589,0.000,0.000,0.000,0.020,0.000,0.071,0.414
MAG-GUT38605,0.000,0.000,0.000,0.005,0.000,0.027,0.253
MAG-GUT38625,0.000,0.000,0.000,0.008,0.003,0.061,0.173
MAG-GUT38697,0.000,0.000,0.000,0.001,0.000,0.014,0.329
MAG-GUT38702,0.000,0.002,0.007,0.166,0.031,0.398,0.724
MAG-GUT38735,0.000,0.000,0.000,0.013,0.001,0.029,0.278
MAG-GUT3880,0.000,0.002,0.007,0.172,0.032,0.401,0.740
MAG-GUT38840,0.000,0.000,0.001,0.177,0.027,0.246,0.524
