"Supplementary Table S11. Read-level specificity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT18523,0.509,0.971,0.992,0.994,0.991
MAG-GUT18526,0.246,0.965,0.988,0.988,0.985
MAG-GUT18564,0.368,0.791,0.846,0.872,0.886
MAG-GUT18577,0.330,0.827,0.883,0.904,0.883
MAG-GUT1861,0.389,0.946,0.977,0.983,0.938
MAG-GUT18620,0.716,0.971,0.991,0.995,0.988
MAG-GUT18629,0.443,0.884,0.936,0.943,0.930
MAG-GUT1870,0.394,0.857,0.937,0.946,0.909
MAG-GUT1871,0.410,0.959,0.990,0.994,0.986
MAG-GUT1873,0.370,0.859,0.940,0.954,0.906
MAG-GUT1875,0.407,0.962,0.989,0.994,0.987
MAG-GUT1876,0.421,0.955,0.990,0.994,0.986
MAG-GUT1877,0.397,0.861,0.935,0.945,0.906
MAG-GUT18785,0.762,0.953,0.967,0.968,0.954
MAG-GUT1880,0.414,0.954,0.989,0.994,0.985
MAG-GUT18812,0.739,0.980,0.993,0.993,0.986
MAG-GUT18819,0.262,0.549,0.721,0.788,0.693
MAG-GUT1881,0.396,0.852,0.943,0.948,0.914
MAG-GUT18824,0.308,0.778,0.866,0.894,0.887
MAG-GUT1882,0.416,0.962,0.991,0.994,0.992
MAG-GUT1883,0.388,0.859,0.937,0.951,0.911
MAG-GUT1885,0.384,0.956,0.990,0.994,0.980
MAG-GUT1887,0.405,0.957,0.989,0.995,0.984
MAG-GUT18888,0.318,0.912,0.947,0.959,0.958
MAG-GUT1888,0.435,0.953,0.992,0.995,0.986
MAG-GUT18897,0.804,0.966,0.980,0.984,0.978
MAG-GUT18907,0.389,0.841,0.906,0.911,0.911
MAG-GUT1892,0.396,0.955,0.990,0.994,0.985
MAG-GUT18932,0.542,0.931,0.965,0.976,0.957
MAG-GUT1894,0.412,0.951,0.992,0.992,0.990
MAG-GUT1895,0.415,0.953,0.992,0.993,0.987
MAG-GUT18970,0.822,0.975,0.986,0.991,0.983
MAG-GUT18974,0.423,0.737,0.834,0.850,0.651
MAG-GUT1898,0.330,0.958,0.992,0.994,0.986
MAG-GUT1900,0.415,0.955,0.990,0.994,0.986
MAG-GUT1904,0.424,0.959,0.990,0.995,0.988
MAG-GUT19064,0.409,0.799,0.822,0.826,0.800
MAG-GUT19065,0.466,0.865,0.926,0.938,0.922
MAG-GUT1906,0.397,0.956,0.990,0.996,0.987
MAG-GUT19089,0.612,0.964,0.984,0.986,0.980
MAG-GUT1908,0.435,0.965,0.991,0.993,0.985
MAG-GUT1911,0.395,0.956,0.989,0.994,0.984
MAG-GUT1912,0.388,0.852,0.935,0.955,0.901
MAG-GUT1914,0.349,0.952,0.989,0.994,0.985
MAG-GUT19155,0.287,0.895,0.950,0.963,0.971
MAG-GUT1915,0.433,0.961,0.993,0.994,0.992
MAG-GUT19165,0.320,0.799,0.874,0.884,0.897
MAG-GUT19182,0.668,0.957,0.977,0.979,0.974
MAG-GUT19188,0.339,0.829,0.879,0.898,0.905
MAG-GUT19215,0.584,0.950,0.974,0.969,0.962
MAG-GUT19219,0.688,0.965,0.985,0.987,0.974
MAG-GUT19220,0.276,0.753,0.856,0.884,0.845
MAG-GUT19226,0.512,0.861,0.900,0.895,0.840
MAG-GUT19290,0.257,0.634,0.727,0.747,0.708
MAG-GUT19307,0.814,0.974,0.985,0.989,0.983
MAG-GUT1930,0.131,0.687,0.824,0.856,0.916
MAG-GUT19408,0.455,0.738,0.822,0.839,0.646
MAG-GUT19423,0.369,0.910,0.952,0.962,0.968
MAG-GUT19428,0.269,0.537,0.711,0.767,0.671
MAG-GUT19429,0.798,0.971,0.985,0.988,0.980
MAG-GUT19459,0.591,0.967,0.990,0.990,0.989
MAG-GUT1946,0.441,0.962,0.992,0.997,0.991
MAG-GUT19533,0.414,0.845,0.898,0.917,0.907
MAG-GUT19546,0.310,0.824,0.865,0.880,0.907
MAG-GUT1954,0.096,0.682,0.833,0.883,0.931
MAG-GUT19561,0.276,0.784,0.889,0.923,0.953
MAG-GUT19573,0.412,0.796,0.862,0.877,0.906
MAG-GUT19592,0.410,0.744,0.839,0.846,0.652
MAG-GUT19599,0.249,0.737,0.849,0.885,0.928
MAG-GUT1959,0.429,0.964,0.994,0.997,0.987
MAG-GUT195,0.492,0.949,0.963,0.964,0.943
MAG-GUT19615,0.389,0.819,0.858,0.873,0.891
MAG-GUT19642,0.354,0.675,0.714,0.724,0.702
MAG-GUT19644,0.457,0.893,0.942,0.947,0.922
MAG-GUT19648,0.259,0.757,0.853,0.861,0.860
MAG-GUT19650,0.689,0.959,0.982,0.988,0.976
MAG-GUT19680,0.716,0.975,0.983,0.983,0.969
MAG-GUT19738,0.430,0.874,0.920,0.924,0.904
MAG-GUT1975,0.652,0.946,0.959,0.957,0.913
MAG-GUT19764,0.315,0.801,0.863,0.871,0.878
MAG-GUT19787,0.339,0.787,0.861,0.899,0.911
MAG-GUT19808,0.410,0.848,0.906,0.926,0.908
MAG-GUT19853,0.306,0.950,0.988,0.991,0.986
MAG-GUT1986,0.691,0.936,0.966,0.954,0.911
MAG-GUT19932,0.623,0.866,0.887,0.892,0.877
MAG-GUT19947,0.237,0.952,0.991,0.991,0.988
MAG-GUT19980,0.467,0.957,0.968,0.962,0.948
MAG-GUT19990,0.825,0.970,0.986,0.989,0.984
MAG-GUT19996,0.360,0.780,0.857,0.874,0.871
MAG-GUT20063,0.608,0.893,0.921,0.924,0.879
MAG-GUT20126,0.364,0.935,0.969,0.978,0.980
MAG-GUT20177,0.656,0.963,0.983,0.988,0.977
MAG-GUT2019,0.397,0.929,0.974,0.977,0.932
MAG-GUT2025,0.456,0.966,0.995,0.997,0.991
MAG-GUT20261,0.503,0.953,0.966,0.959,0.944
MAG-GUT20287,0.563,0.889,0.922,0.925,0.920
MAG-GUT20293,0.411,0.788,0.831,0.847,0.803
MAG-GUT20294,0.819,0.974,0.984,0.985,0.977
MAG-GUT2031,0.183,0.708,0.826,0.867,0.929
MAG-GUT20416,0.812,0.980,0.990,0.991,0.984
MAG-GUT20461,0.357,0.919,0.962,0.969,0.973
MAG-GUT20500,0.376,0.959,0.985,0.984,0.978
MAG-GUT2053,0.590,0.844,0.851,0.834,0.701
MAG-GUT20540,0.554,0.890,0.913,0.925,0.917
MAG-GUT20578,0.690,0.971,0.991,0.994,0.976
MAG-GUT2058,0.413,0.867,0.922,0.938,0.907
MAG-GUT20603,0.514,0.875,0.908,0.913,0.911
MAG-GUT2060,0.375,0.946,0.976,0.980,0.942
MAG-GUT20615,0.642,0.949,0.963,0.964,0.961
MAG-GUT2061,0.105,0.691,0.839,0.870,0.935
MAG-GUT20624,0.361,0.785,0.868,0.881,0.875
MAG-GUT20639,0.435,0.858,0.943,0.965,0.982
MAG-GUT20745,0.516,0.970,0.984,0.986,0.984
MAG-GUT2078,0.364,0.837,0.913,0.914,0.881
MAG-GUT2079,0.655,0.953,0.977,0.981,0.965
MAG-GUT20810,0.430,0.857,0.914,0.931,0.914
MAG-GUT2081,0.385,0.790,0.868,0.887,0.850
MAG-GUT2086,0.385,0.777,0.871,0.894,0.850
MAG-GUT20896,0.740,0.979,0.989,0.991,0.983
MAG-GUT20972,0.674,0.940,0.961,0.968,0.952
MAG-GUT20976,0.324,0.801,0.858,0.869,0.893
MAG-GUT20984,0.560,0.933,0.976,0.980,0.965
MAG-GUT21052,0.202,0.711,0.843,0.882,0.841
MAG-GUT21072,0.460,0.894,0.938,0.950,0.939
MAG-GUT21076,0.368,0.796,0.852,0.865,0.898
MAG-GUT21093,0.638,0.945,0.967,0.968,0.960
MAG-GUT21102,0.732,0.938,0.961,0.967,0.945
MAG-GUT2110,0.350,0.968,0.991,0.996,0.987
MAG-GUT21122,0.665,0.956,0.980,0.988,0.974
MAG-GUT21168,0.422,0.651,0.684,0.703,0.736
MAG-GUT21188,0.629,0.942,0.964,0.964,0.966
MAG-GUT21326,0.457,0.861,0.920,0.934,0.921
MAG-GUT21377,0.327,0.924,0.973,0.972,0.964
MAG-GUT21378,0.445,0.884,0.942,0.944,0.932
MAG-GUT21385,0.337,0.807,0.870,0.884,0.896
MAG-GUT2139,0.770,0.983,0.984,0.982,0.985
MAG-GUT21424,0.251,0.752,0.863,0.903,0.943
MAG-GUT21444,0.466,0.902,0.947,0.949,0.936
MAG-GUT21498,0.290,0.796,0.858,0.869,0.897
MAG-GUT21531,0.514,0.914,0.962,0.967,0.962
MAG-GUT21682,0.190,0.777,0.872,0.899,0.945
MAG-GUT21728,0.650,0.948,0.961,0.965,0.964
MAG-GUT21785,0.499,0.896,0.948,0.957,0.948
MAG-GUT21953,0.374,0.955,0.994,0.996,0.995
MAG-GUT21962,0.669,0.951,0.964,0.964,0.927
MAG-GUT21972,0.364,0.841,0.903,0.914,0.894
MAG-GUT2201,0.440,0.878,0.926,0.932,0.943
MAG-GUT2203,0.566,0.902,0.920,0.923,0.928
MAG-GUT22049,0.282,0.755,0.861,0.899,0.944
MAG-GUT22121,0.286,0.909,0.959,0.963,0.944
MAG-GUT22184,0.671,0.975,0.984,0.987,0.979
MAG-GUT22238,0.502,0.896,0.938,0.952,0.935
MAG-GUT22266,0.328,0.789,0.856,0.865,0.889
MAG-GUT22420,0.465,0.928,0.967,0.977,0.977
MAG-GUT22452,0.599,0.948,0.975,0.980,0.962
MAG-GUT22456,0.635,0.949,0.978,0.983,0.977
MAG-GUT22496,0.362,0.932,0.968,0.975,0.981
MAG-GUT22502,0.348,0.814,0.879,0.903,0.889
MAG-GUT2250,0.468,0.887,0.930,0.939,0.948
MAG-GUT22547,0.387,0.818,0.856,0.869,0.895
MAG-GUT2256,0.636,0.948,0.963,0.969,0.958
MAG-GUT22591,0.261,0.715,0.754,0.780,0.822
MAG-GUT22606,0.727,0.963,0.979,0.983,0.973
MAG-GUT22619,0.336,0.936,0.970,0.983,0.982
MAG-GUT22642,0.409,0.884,0.929,0.942,0.927
MAG-GUT22670,0.313,0.949,0.990,0.995,0.992
MAG-GUT22684,0.342,0.827,0.876,0.890,0.900
MAG-GUT22695,0.360,0.806,0.852,0.864,0.896
MAG-GUT22751,0.407,0.733,0.737,0.738,0.702
MAG-GUT22776,0.776,0.988,0.996,0.995,0.994
MAG-GUT22830,0.636,0.977,0.994,0.997,0.990
MAG-GUT22848,0.581,0.943,0.978,0.984,0.970
MAG-GUT22878,0.561,0.907,0.955,0.964,0.953
MAG-GUT2287,0.384,0.787,0.867,0.882,0.896
MAG-GUT2306,0.817,0.991,0.997,0.997,0.996
MAG-GUT23210,0.570,0.925,0.958,0.963,0.956
MAG-GUT2323,0.711,0.975,0.986,0.989,0.985
MAG-GUT23266,0.318,0.680,0.711,0.724,0.710
MAG-GUT23276,0.546,0.874,0.923,0.939,0.945
MAG-GUT2327,0.624,0.970,0.990,0.990,0.990
MAG-GUT23295,0.695,0.977,0.994,0.995,0.978
MAG-GUT23346,0.373,0.855,0.908,0.922,0.887
MAG-GUT23356,0.331,0.812,0.869,0.881,0.903
MAG-GUT23387,0.496,0.848,0.891,0.900,0.858
MAG-GUT23397,0.558,0.931,0.962,0.973,0.957
MAG-GUT23420,0.393,0.816,0.883,0.899,0.911
MAG-GUT23449,0.335,0.794,0.876,0.880,0.900
MAG-GUT23546,0.609,0.901,0.923,0.915,0.878
MAG-GUT23604,0.470,0.973,0.993,0.993,0.995
MAG-GUT23608,0.600,0.884,0.901,0.919,0.864
MAG-GUT23613,0.437,0.930,0.972,0.974,0.978
MAG-GUT23645,0.412,0.941,0.981,0.986,0.980
MAG-GUT2366,0.652,0.981,0.997,0.999,0.999
MAG-GUT23691,0.359,0.835,0.909,0.925,0.916
MAG-GUT23723,0.382,0.856,0.906,0.916,0.890
MAG-GUT23746,0.354,0.799,0.858,0.868,0.806
MAG-GUT23753,0.642,0.949,0.962,0.958,0.917
MAG-GUT23754,0.804,0.973,0.986,0.988,0.977
MAG-GUT23809,0.601,0.936,0.963,0.963,0.958
MAG-GUT23816,0.583,0.955,0.980,0.983,0.973
MAG-GUT23860,0.380,0.836,0.892,0.906,0.893
MAG-GUT23890,0.468,0.933,0.974,0.982,0.984
MAG-GUT23960,0.451,0.848,0.920,0.938,0.916
MAG-GUT23967,0.388,0.684,0.716,0.729,0.676
MAG-GUT23979,0.626,0.958,0.980,0.979,0.979
MAG-GUT24052,0.537,0.877,0.907,0.914,0.913
MAG-GUT24070,0.459,0.959,0.979,0.987,0.978
MAG-GUT24105,0.500,0.887,0.929,0.938,0.935
MAG-GUT24113,0.556,0.973,0.989,0.989,0.986
MAG-GUT24122,0.375,0.797,0.855,0.885,0.896
MAG-GUT24126,0.583,0.935,0.984,0.988,0.987
MAG-GUT24142,0.348,0.658,0.701,0.707,0.693
MAG-GUT2417,0.572,0.976,0.990,0.989,0.989
MAG-GUT24184,0.487,0.959,0.981,0.986,0.979
MAG-GUT24197,0.363,0.804,0.882,0.901,0.911
MAG-GUT24211,0.458,0.942,0.974,0.985,0.981
MAG-GUT24313,0.325,0.814,0.882,0.895,0.908
MAG-GUT24369,0.548,0.918,0.959,0.969,0.954
MAG-GUT2438,0.722,0.989,0.998,0.998,0.999
MAG-GUT24441,0.596,0.905,0.932,0.927,0.884
MAG-GUT24472,0.369,0.922,0.958,0.963,0.939
MAG-GUT24503,0.337,0.814,0.865,0.877,0.896
MAG-GUT24507,0.441,0.841,0.916,0.935,0.924
MAG-GUT24534,0.389,0.861,0.936,0.937,0.930
MAG-GUT24564,0.277,0.949,0.983,0.990,0.986
MAG-GUT24574,0.408,0.948,0.977,0.980,0.985
MAG-GUT24606,0.322,0.964,0.991,0.995,0.994
MAG-GUT24616,0.306,0.940,0.981,0.988,0.982
MAG-GUT24642,0.375,0.822,0.884,0.905,0.897
MAG-GUT24657,0.281,0.732,0.847,0.887,0.937
MAG-GUT24670,0.316,0.928,0.972,0.981,0.981
MAG-GUT24686,0.338,0.808,0.869,0.876,0.874
MAG-GUT24735,0.310,0.758,0.828,0.858,0.855
MAG-GUT24763,0.248,0.813,0.899,0.922,0.937
MAG-GUT24765,0.690,0.985,0.997,0.998,0.995
MAG-GUT24787,0.322,0.949,0.975,0.984,0.983
MAG-GUT24822,0.336,0.792,0.845,0.869,0.893
MAG-GUT24836,0.307,0.780,0.848,0.877,0.874
MAG-GUT24840,0.316,0.937,0.987,0.994,0.990
MAG-GUT24988,0.329,0.929,0.987,0.990,0.986
MAG-GUT25022,0.265,0.737,0.846,0.886,0.927
MAG-GUT25048,0.545,0.876,0.898,0.914,0.907
MAG-GUT25055,0.416,0.972,0.996,0.997,0.997
MAG-GUT25075,0.467,0.728,0.829,0.847,0.650
MAG-GUT25077,0.735,0.976,0.984,0.985,0.981
MAG-GUT2507,0.371,0.803,0.867,0.881,0.893
MAG-GUT25223,0.458,0.734,0.836,0.857,0.667
MAG-GUT2525,0.330,0.814,0.863,0.879,0.900
MAG-GUT25263,0.443,0.740,0.832,0.839,0.660
MAG-GUT25307,0.316,0.930,0.980,0.987,0.986
MAG-GUT25340,0.499,0.860,0.899,0.905,0.896
MAG-GUT25354,0.688,0.949,0.979,0.983,0.975
MAG-GUT25404,0.492,0.908,0.937,0.945,0.936
MAG-GUT25429,0.636,0.868,0.906,0.910,0.891
MAG-GUT25519,0.623,0.929,0.951,0.955,0.918
MAG-GUT25590,0.163,0.713,0.833,0.879,0.937
MAG-GUT25605,0.453,0.868,0.924,0.937,0.938
MAG-GUT25621,0.300,0.849,0.921,0.940,0.954
MAG-GUT25650,0.362,0.730,0.726,0.690,0.505
MAG-GUT25763,0.458,0.913,0.953,0.963,0.938
MAG-GUT25802,0.498,0.915,0.955,0.958,0.953
MAG-GUT25808,0.390,0.867,0.900,0.906,0.891
MAG-GUT25847,0.411,0.958,0.990,0.993,0.986
MAG-GUT25961,0.472,0.910,0.948,0.955,0.937
MAG-GUT26038,0.653,0.954,0.973,0.978,0.966
MAG-GUT26059,0.321,0.823,0.885,0.904,0.883
MAG-GUT2607,0.574,0.935,0.969,0.977,0.959
MAG-GUT26088,0.441,0.956,0.964,0.968,0.944
MAG-GUT26204,0.668,0.956,0.971,0.978,0.971
MAG-GUT26205,0.517,0.932,0.956,0.968,0.953
MAG-GUT26238,0.447,0.725,0.746,0.737,0.673
MAG-GUT26239,0.506,0.914,0.951,0.957,0.948
MAG-GUT26272,0.301,0.877,0.953,0.965,0.957
MAG-GUT26273,0.380,0.826,0.904,0.918,0.894
MAG-GUT26293,0.571,0.937,0.969,0.973,0.963
MAG-GUT26303,0.339,0.855,0.920,0.942,0.937
MAG-GUT26315,0.431,0.956,0.971,0.967,0.953
MAG-GUT26333,0.680,0.951,0.971,0.976,0.961
MAG-GUT26344,0.494,0.891,0.951,0.957,0.941
MAG-GUT26365,0.446,0.968,0.988,0.988,0.989
MAG-GUT26387,0.467,0.924,0.969,0.975,0.961
MAG-GUT26400,0.501,0.905,0.957,0.969,0.949
MAG-GUT26401,0.373,0.926,0.971,0.979,0.972
MAG-GUT26441,0.709,0.949,0.968,0.972,0.964
MAG-GUT26459,0.525,0.938,0.966,0.972,0.963
MAG-GUT26493,0.460,0.961,0.989,0.992,0.989
MAG-GUT26496,0.395,0.963,0.991,0.993,0.988
MAG-GUT26501,0.413,0.923,0.965,0.974,0.970
MAG-GUT26512,0.274,0.941,0.961,0.967,0.941
MAG-GUT26524,0.340,0.943,0.981,0.986,0.972
MAG-GUT26531,0.308,0.855,0.930,0.941,0.941
MAG-GUT2655,0.370,0.842,0.902,0.912,0.898
MAG-GUT26562,0.515,0.934,0.970,0.969,0.955
MAG-GUT26578,0.339,0.806,0.864,0.879,0.889
MAG-GUT26586,0.682,0.924,0.942,0.937,0.865
MAG-GUT26587,0.399,0.825,0.876,0.887,0.905
MAG-GUT2658,0.396,0.819,0.858,0.871,0.895
MAG-GUT2660,0.362,0.706,0.733,0.723,0.709
MAG-GUT26615,0.350,0.829,0.884,0.887,0.910
MAG-GUT26757,0.339,0.814,0.888,0.903,0.891
MAG-GUT26803,0.412,0.734,0.755,0.739,0.695
MAG-GUT26973,0.416,0.707,0.721,0.717,0.638
MAG-GUT27018,0.554,0.874,0.909,0.905,0.865
MAG-GUT27032,0.242,0.726,0.850,0.896,0.928
MAG-GUT27053,0.409,0.848,0.916,0.942,0.923
MAG-GUT27063,0.511,0.962,0.974,0.971,0.964
MAG-GUT27097,0.251,0.894,0.974,0.983,0.979
MAG-GUT27121,0.471,0.859,0.928,0.938,0.930
MAG-GUT27127,0.547,0.963,0.977,0.980,0.971
MAG-GUT27129,0.479,0.839,0.890,0.901,0.916
MAG-GUT27132,0.375,0.826,0.903,0.906,0.896
MAG-GUT27144,0.342,0.826,0.901,0.904,0.894
MAG-GUT27169,0.581,0.946,0.980,0.982,0.971
MAG-GUT271,0.480,0.964,0.994,0.994,0.989
MAG-GUT27271,0.395,0.822,0.873,0.882,0.899
MAG-GUT27283,0.369,0.828,0.889,0.885,0.910
MAG-GUT27297,0.349,0.836,0.889,0.903,0.911
MAG-GUT27309,0.278,0.838,0.907,0.926,0.910
MAG-GUT27329,0.305,0.838,0.920,0.943,0.916
MAG-GUT27420,0.614,0.981,0.996,0.999,0.999
MAG-GUT27426,0.369,0.816,0.889,0.901,0.898
MAG-GUT27436,0.351,0.825,0.888,0.897,0.887
MAG-GUT27437,0.614,0.979,0.996,0.997,0.997
MAG-GUT27453,0.590,0.978,0.995,0.998,0.998
MAG-GUT27476,0.669,0.969,0.989,0.991,0.984
MAG-GUT27477,0.501,0.913,0.946,0.951,0.950
MAG-GUT27501,0.682,0.968,0.993,0.992,0.989
MAG-GUT2752,0.572,0.928,0.967,0.976,0.953
MAG-GUT2776,0.316,0.802,0.862,0.869,0.890
MAG-GUT27781,0.711,0.967,0.987,0.986,0.980
MAG-GUT27783,0.683,0.971,0.989,0.992,0.986
MAG-GUT2783,0.403,0.722,0.762,0.749,0.720
MAG-GUT27936,0.362,0.905,0.954,0.966,0.971
MAG-GUT27968,0.320,0.905,0.955,0.962,0.970
MAG-GUT28018,0.585,0.941,0.977,0.983,0.964
MAG-GUT28028,0.525,0.930,0.964,0.973,0.959
MAG-GUT28034,0.422,0.855,0.905,0.926,0.923
MAG-GUT28050,0.463,0.851,0.903,0.920,0.918
MAG-GUT28054,0.388,0.858,0.911,0.922,0.923
MAG-GUT28074,0.326,0.805,0.860,0.882,0.900
MAG-GUT28099,0.341,0.839,0.899,0.909,0.890
MAG-GUT28110,0.369,0.808,0.884,0.907,0.892
MAG-GUT28130,0.360,0.826,0.895,0.907,0.896
MAG-GUT28136,0.749,0.988,0.997,0.997,0.997
MAG-GUT28206,0.689,0.982,0.993,0.996,0.994
MAG-GUT28243,0.573,0.978,0.990,0.992,0.984
MAG-GUT28252,0.361,0.825,0.883,0.892,0.915
MAG-GUT28366,0.347,0.961,0.991,0.992,0.989
MAG-GUT28379,0.320,0.963,0.992,0.993,0.988
MAG-GUT2841,0.629,0.987,0.997,0.998,0.995
MAG-GUT2847,0.329,0.935,0.976,0.981,0.985
MAG-GUT28570,0.729,0.968,0.984,0.986,0.978
MAG-GUT28651,0.633,0.967,0.986,0.988,0.982
MAG-GUT2865,0.163,0.538,0.599,0.638,0.766
MAG-GUT28666,0.600,0.964,0.988,0.985,0.979
MAG-GUT28677,0.623,0.960,0.980,0.982,0.974
MAG-GUT2867,0.338,0.934,0.972,0.980,0.984
MAG-GUT28702,0.636,0.965,0.989,0.993,0.987
MAG-GUT28721,0.648,0.934,0.950,0.948,0.884
MAG-GUT28738,0.650,0.927,0.946,0.948,0.880
MAG-GUT2873,0.694,0.987,0.998,0.999,0.997
MAG-GUT2874,0.119,0.504,0.592,0.642,0.770
MAG-GUT28806,0.254,0.626,0.722,0.743,0.680
MAG-GUT2884,0.385,0.804,0.860,0.865,0.895
MAG-GUT28915,0.634,0.985,0.998,0.998,0.995
MAG-GUT28960,0.701,0.968,0.986,0.989,0.981
MAG-GUT28964,0.643,0.965,0.987,0.989,0.981
MAG-GUT28976,0.695,0.968,0.988,0.988,0.979
MAG-GUT28983,0.445,0.890,0.937,0.938,0.937
MAG-GUT29001,0.685,0.972,0.990,0.990,0.982
MAG-GUT29051,0.826,0.990,0.998,0.997,0.997
MAG-GUT29076,0.830,0.992,0.998,0.998,0.995
MAG-GUT29111,0.353,0.819,0.861,0.886,0.897
MAG-GUT29134,0.431,0.829,0.880,0.898,0.904
MAG-GUT2914,0.344,0.826,0.866,0.886,0.896
MAG-GUT29175,0.651,0.970,0.988,0.991,0.989
MAG-GUT29189,0.468,0.866,0.906,0.909,0.906
MAG-GUT29214,0.486,0.860,0.901,0.901,0.904
MAG-GUT29221,0.496,0.865,0.901,0.908,0.910
MAG-GUT29239,0.580,0.948,0.983,0.987,0.968
MAG-GUT29293,0.397,0.867,0.911,0.909,0.851
MAG-GUT29345,0.326,0.804,0.863,0.883,0.900
MAG-GUT29364,0.302,0.789,0.859,0.874,0.871
MAG-GUT29376,0.344,0.813,0.866,0.882,0.895
MAG-GUT2937,0.527,0.969,0.994,0.997,0.995
MAG-GUT29414,0.270,0.635,0.707,0.739,0.769
MAG-GUT29476,0.589,0.889,0.913,0.923,0.914
MAG-GUT29483,0.367,0.824,0.896,0.907,0.888
MAG-GUT29494,0.293,0.629,0.680,0.714,0.751
MAG-GUT29515,0.649,0.970,0.990,0.991,0.986
MAG-GUT29557,0.230,0.725,0.843,0.886,0.928
MAG-GUT29569,0.645,0.969,0.987,0.986,0.982
MAG-GUT29582,0.479,0.877,0.933,0.940,0.924
MAG-GUT29587,0.799,0.976,0.986,0.989,0.982
MAG-GUT29600,0.595,0.937,0.959,0.954,0.951
MAG-GUT2965,0.316,0.673,0.708,0.715,0.690
MAG-GUT29781,0.752,0.952,0.965,0.970,0.954
MAG-GUT29784,0.426,0.873,0.916,0.917,0.897
MAG-GUT29812,0.356,0.811,0.861,0.872,0.906
MAG-GUT29856,0.757,0.946,0.973,0.971,0.952
MAG-GUT29860,0.627,0.966,0.983,0.985,0.976
MAG-GUT29870,0.503,0.959,0.987,0.990,0.986
MAG-GUT29878,0.431,0.860,0.936,0.961,0.978
MAG-GUT29885,0.316,0.926,0.954,0.961,0.960
MAG-GUT29911,0.480,0.898,0.948,0.956,0.943
MAG-GUT29933,0.352,0.803,0.859,0.876,0.902
MAG-GUT29963,0.312,0.769,0.877,0.921,0.952
MAG-GUT30085,0.471,0.972,0.996,0.997,0.996
MAG-GUT30091,0.372,0.816,0.866,0.856,0.791
MAG-GUT30098,0.199,0.582,0.698,0.729,0.662
MAG-GUT30099,0.432,0.891,0.936,0.948,0.939
MAG-GUT30102,0.397,0.743,0.767,0.770,0.736
MAG-GUT30142,0.678,0.959,0.979,0.984,0.973
MAG-GUT30268,0.375,0.789,0.859,0.879,0.888
MAG-GUT30319,0.190,0.723,0.834,0.872,0.883
MAG-GUT30323,0.371,0.828,0.884,0.887,0.909
MAG-GUT30383,0.687,0.957,0.984,0.989,0.982
MAG-GUT30439,0.474,0.972,0.992,0.995,0.992
MAG-GUT30448,0.364,0.821,0.871,0.884,0.907
MAG-GUT30479,0.499,0.964,0.990,0.990,0.990
MAG-GUT30522,0.327,0.799,0.858,0.884,0.899
MAG-GUT30539,0.614,0.866,0.881,0.883,0.872
MAG-GUT30560,0.349,0.788,0.852,0.856,0.894
MAG-GUT30581,0.763,0.943,0.967,0.969,0.954
MAG-GUT30604,0.352,0.795,0.871,0.894,0.867
MAG-GUT30639,0.869,0.990,0.998,0.997,0.990
MAG-GUT30699,0.802,0.958,0.973,0.974,0.959
MAG-GUT30728,0.678,0.958,0.984,0.987,0.980
MAG-GUT308,0.621,0.909,0.940,0.939,0.917
MAG-GUT3090,0.512,0.921,0.965,0.973,0.961
MAG-GUT30970,0.705,0.964,0.986,0.988,0.981
MAG-GUT31002,0.372,0.930,0.973,0.981,0.984
MAG-GUT31010,0.391,0.832,0.880,0.894,0.913
MAG-GUT31018,0.490,0.918,0.962,0.968,0.958
MAG-GUT31079,0.372,0.814,0.884,0.895,0.912
MAG-GUT31093,0.806,0.976,0.985,0.989,0.982
MAG-GUT3110,0.316,0.825,0.889,0.908,0.888
MAG-GUT31138,0.717,0.973,0.991,0.991,0.986
MAG-GUT31232,0.322,0.788,0.859,0.884,0.880
MAG-GUT31235,0.590,0.945,0.963,0.970,0.960
MAG-GUT31276,0.611,0.970,0.989,0.990,0.983
MAG-GUT31302,0.744,0.947,0.964,0.968,0.953
MAG-GUT31303,0.562,0.947,0.981,0.985,0.965
MAG-GUT31343,0.378,0.736,0.780,0.801,0.780
MAG-GUT31431,0.077,0.271,0.393,0.408,0.171
MAG-GUT31433,0.348,0.787,0.859,0.874,0.900
MAG-GUT31502,0.670,0.947,0.963,0.960,0.921
MAG-GUT31519,0.569,0.966,0.991,0.994,0.992
MAG-GUT31529,0.380,0.821,0.863,0.877,0.898
MAG-GUT31533,0.505,0.975,0.994,0.996,0.994
MAG-GUT31540,0.332,0.922,0.966,0.975,0.981
MAG-GUT31546,0.482,0.748,0.844,0.863,0.685
MAG-GUT31555,0.339,0.795,0.867,0.879,0.889
MAG-GUT31580,0.344,0.814,0.869,0.884,0.894
MAG-GUT31702,0.623,0.969,0.987,0.988,0.982
MAG-GUT31741,0.585,0.894,0.910,0.918,0.874
MAG-GUT3175,0.339,0.799,0.848,0.868,0.885
MAG-GUT31783,0.323,0.783,0.845,0.871,0.900
MAG-GUT31785,0.569,0.943,0.977,0.983,0.978
MAG-GUT317,0.377,0.923,0.971,0.977,0.979
MAG-GUT31802,0.695,0.967,0.989,0.991,0.976
