Supplementary Table S3. Number of reads sampled from each whole-genome-sequenced bacterial isolates collected from human fecal samples,,,,,,,,,,,,
Run,Organism,Genus, Read count (mock 01) , Read count (mock 02) , Read count (mock 03) , Read count (mock 04) , Read count (mock 05) , Read count (mock 06) , Read count (mock 07) , Read count (mock 08) , Read count (mock 09) , Read count (mock 10) 
ERR2221249,Klebsiella oxytoca,Klebsiella," 3,321 ", 870 ," 13,405 ", 972 , 129 ," 8,309 "," 1,757 ", 837 ," 2,074 "," 8,088 "
ERR2221251,Enterococcus faecalis,Enterococcus," 13,532 ", 594 ," 4,114 "," 55,738 "," 4,546 "," 9,048 "," 27,432 "," 2,696 "," 146,826 "," 101,959 "
ERR2221252,Bacteroides dorei,Bacteroides, 261 ," 30,753 "," 52,065 "," 2,512 "," 23,223 ", 350 ," 38,003 "," 66,855 ", 257 , 442 
ERR2221260,Blautia obeum,Blautia," 24,286 "," 3,112 "," 9,153 "," 5,434 ", 379 , 159 ," 8,154 ", 590 ," 2,468 ", 211 
ERR2221264,Bacteroides thetaiotaomicron,Bacteroides," 14,868 "," 18,515 "," 18,944 "," 12,993 "," 1,687 "," 5,118 "," 15,121 "," 8,193 "," 113,925 "," 100,245 "
ERR2221269,Blautia faecis,Blautia," 25,202 ", 807 ," 19,614 "," 1,187 "," 108,134 "," 6,799 "," 16,722 ", 852 ," 87,941 "," 104,266 "
ERR2221274,Bacteroides thetaiotaomicron,Bacteroides, 875 ," 56,193 "," 1,340 "," 1,479 "," 12,606 ", 218 ," 73,319 "," 8,056 "," 22,764 "," 167,424 "
ERR2221275,Dorea formicigenerans,Dorea," 34,165 ", 298 , 83 ," 3,110 "," 12,267 "," 18,814 "," 213,032 "," 6,887 "," 1,704 ", 305 
ERR2221279,Blautia glucerasea,Blautia," 189,239 "," 20,184 "," 7,693 "," 19,606 "," 2,324 "," 44,204 "," 6,140 "," 48,602 "," 8,702 "," 1,990 "
ERR2221280,Lactobacillus animalis,Lactobacillus," 151,493 "," 11,052 "," 59,864 ", 187 ," 1,445 "," 126,924 ", 78 ," 15,998 "," 20,693 ", 938 
ERR2221284,Clostridium disporicum,Clostridium," 1,370 "," 7,465 "," 4,767 "," 44,117 "," 1,451 "," 27,851 "," 3,529 ", 273 ," 492,222 "," 1,338 "
ERR2221286,Bacteroides clarus,Bacteroides," 3,611 "," 16,597 "," 17,340 "," 13,960 "," 3,559 ", 939 ," 30,519 "," 94,013 "," 53,040 "," 4,445 "
ERR2221287,Klebsiella oxytoca,Klebsiella," 6,422 "," 9,690 "," 101,197 "," 2,185 ", 230 ," 4,482 "," 4,294 ", 996 ," 5,974 "," 51,235 "
ERR2221288,Streptococcus mutans,Streptococcus," 2,046 "," 1,219 "," 1,957 "," 1,480 "," 3,645 "," 72,574 "," 5,116 "," 1,317 "," 1,528 "," 6,175 "
ERR2221289,Klebsiella oxytoca,Klebsiella," 20,458 "," 2,557 "," 22,031 ", 664 ," 1,368 "," 2,465 "," 3,711 "," 7,766 "," 91,544 "," 1,128 "
ERR2221290,Clostridium perfringens,Clostridium," 7,853 "," 8,971 "," 58,578 "," 2,332 "," 30,849 "," 531,591 "," 1,669 "," 49,755 "," 4,380 "," 12,015 "
ERR2221291,Lactobacillus paracasei,Lactobacillus, 463 , 316 ," 111,087 "," 12,897 "," 105,909 ", 555 , 692 ," 3,880 ", 279 ," 3,586 "
ERR2221292,Pediococcus acidilactici,Pediococcus," 5,220 ", 745 , 887 ," 1,876 ", 553 ," 23,137 "," 7,516 "," 2,488 ", 974 ," 31,198 "
ERR2221293,Pediococcus acidilactici,Pediococcus, 372 ," 278,215 ", 134 ," 14,076 "," 18,267 ", 331 ," 1,528 "," 56,596 "," 25,062 ", 224 
ERR2221294,Pediococcus acidilactici,Pediococcus," 3,826 ", 66 , 413 ," 2,306 ", 287 ," 97,800 "," 1,751 "," 56,484 "," 17,797 "," 33,106 "
ERR2221295,Pediococcus acidilactici,Pediococcus," 6,753 ", 367 ," 8,093 "," 1,960 "," 21,398 "," 25,566 "," 2,697 "," 11,611 "," 46,347 "," 129,158 "
ERR2221296,Leuconostoc pseudomesenteroides,Leuconostoc," 5,916 "," 31,661 ", 990 ," 3,021 "," 27,033 "," 1,780 ", 535 ," 10,426 ", 722 ," 46,884 "
ERR2221297,Klebsiella variicola,Klebsiella," 17,803 "," 38,534 "," 4,296 "," 2,293 "," 29,408 "," 3,303 "," 3,256 "," 894,455 "," 109,862 "," 1,909 "
ERR2221298,Bacteroides fragilis,Bacteroides," 12,336 "," 23,428 "," 67,951 "," 24,340 "," 83,793 "," 4,766 "," 34,161 "," 2,329 "," 1,762 ", 392 
ERR2221299,Pediococcus acidilactici,Pediococcus," 41,845 "," 4,894 ", 417 , 38 , 407 ," 94,463 "," 5,018 "," 12,576 "," 24,593 "," 1,417 "
ERR2221300,uncultured Bacteroides sp.,Bacteroides," 11,835 "," 8,348 "," 22,406 "," 8,045 "," 445,716 "," 4,217 "," 1,221 "," 690,986 "," 26,571 "," 51,084 "
ERR2221301,Lactobacillus salivarius,Lactobacillus, 718 , 715 ," 31,776 "," 14,011 "," 1,115 "," 3,010 "," 2,165 "," 75,737 "," 1,439 ", 342 
ERR2221303,Lactobacillus paracasei,Lactobacillus," 53,132 "," 1,185 "," 4,550 "," 2,172 "," 9,201 "," 1,728 ", 837 ," 2,106 "," 31,893 "," 23,708 "
ERR2221304,Lactobacillus casei,Lactobacillus, 875 ," 2,584 "," 10,257 "," 3,777 "," 193,029 "," 3,185 "," 5,088 "," 6,283 ", 952 , 927 
ERR2221307,Alistipes shahii,Alistipes," 63,235 ", 674 ," 1,777 "," 1,399 ", 977 , 25 , 661 , 805 ," 279,407 "," 3,067 "
ERR2221309,Enterococcus faecium,Enterococcus," 37,024 "," 22,568 "," 7,387 "," 119,866 "," 4,172 "," 142,093 ", 83 , 294 ," 26,467 "," 8,530 "
ERR2221310,Enterococcus faecium,Enterococcus," 64,828 ", 170 , 310 , 159 ," 51,658 "," 9,962 ", 696 ," 39,407 "," 26,112 "," 1,447 "
ERR2221311,Lactobacillus vaginalis,Lactobacillus," 5,221 ", 556 ," 1,223 ", 131 , 50 ," 7,876 "," 5,496 "," 9,722 "," 1,638 "," 32,462 "
ERR2221312,Bacteroides thetaiotaomicron,Bacteroides," 5,266 ", 350 ," 5,214 "," 12,742 "," 2,382 ", 35 ," 64,873 "," 4,626 ", 155 ," 4,580 "
ERR2221313,Enterococcus faecalis,Enterococcus," 24,214 "," 9,569 "," 34,623 ", 253 ," 2,060 ", 437 , 94 ," 54,852 "," 3,109 "," 81,479 "
ERR2221314,Enterococcus faecalis,Enterococcus," 1,489 ", 454 ," 1,391 "," 2,257 "," 1,528 "," 40,463 "," 5,909 "," 2,539 "," 1,483 "," 575,827 "
ERR2221315,Enterococcus faecalis,Enterococcus," 601,834 "," 12,968 "," 19,166 "," 2,359 "," 223,623 "," 10,841 "," 10,751 "," 1,323 ", 659 , 178 
ERR2221316,Pediococcus acidilactici,Pediococcus," 3,729 "," 45,944 ", 885 ," 1,231 "," 18,891 "," 74,577 "," 143,363 ", 811 , 290 ," 81,344 "
ERR2221317,Enterococcus faecium,Enterococcus," 2,930 "," 4,594 "," 3,257 ", 304 ," 56,911 "," 4,925 "," 105,335 ", 305 ," 2,811 "," 21,093 "
ERR2221320,Streptococcus anginosus,Streptococcus," 4,693 "," 12,237 "," 42,945 "," 72,873 "," 1,094 "," 11,665 "," 11,083 "," 223,538 "," 315,351 "," 3,482 "
ERR2221321,Streptococcus agalactiae,Streptococcus," 2,269 "," 1,181 "," 1,713 "," 35,740 "," 19,164 "," 29,268 "," 11,925 "," 141,768 "," 4,831 ", 965 
ERR2221322,Bifidobacterium faecale,Bifidobacterium," 12,607 "," 11,959 ", 949 ," 50,764 "," 22,649 "," 2,386 "," 5,337 "," 14,946 "," 65,032 "," 428,179 "
ERR2221323,Lactobacillus salivarius,Lactobacillus," 5,973 ", 343 ," 1,812 "," 8,280 "," 30,930 "," 44,953 "," 24,555 "," 8,098 "," 21,954 "," 8,656 "
ERR2221324,Enterococcus gallinarum,Enterococcus," 2,345 "," 3,746 "," 19,644 ", 469 , 287 , 85 ," 2,432 "," 8,756 "," 78,635 "," 307,926 "
ERR2221325,Lactobacillus casei,Lactobacillus," 36,260 ", 296 ," 19,933 "," 17,017 "," 48,974 ", 136 ," 24,421 ", 517 , 249 ," 1,257 "
ERR2221326,Bacteroides cellulosilyticus,Bacteroides," 7,362 "," 2,564 "," 21,597 ", 798 ," 140,041 "," 33,724 "," 3,216 "," 13,969 ", 866 ," 20,991 "
ERR2221327,Lactobacillus animalis,Lactobacillus," 14,555 "," 38,449 "," 4,324 "," 138,824 ", 219 ," 46,626 "," 31,867 "," 3,514 "," 1,197 "," 340,762 "
ERR2221328,Clostridium perfringens,Clostridium," 1,620,525 "," 17,731 "," 106,992 "," 8,043 "," 12,387 "," 33,610 "," 7,034 "," 174,257 ", 855 ," 10,279 "
ERR2221329,Enterococcus casseliflavus,Enterococcus," 195,627 "," 1,802 "," 3,884 "," 5,789 "," 5,989 "," 1,383 ", 693 ," 3,134 "," 26,067 "," 3,221 "
ERR2221330,Clostridium subterminale,Clostridium, 538 , 902 ," 79,318 "," 3,956 "," 46,932 ", 754 ," 24,025 "," 18,735 ", 126 ," 1,014 "
ERR2221332,Enterococcus lactis,Enterococcus," 8,992 ", 787 ," 37,813 ", 647 ," 241,443 "," 4,758 "," 4,316 "," 487,792 "," 11,139 "," 3,348 "
ERR2221335,Klebsiella oxytoca,Klebsiella," 45,339 ", 982 ," 25,130 "," 2,109 "," 18,635 "," 21,892 "," 22,388 "," 7,077 "," 2,356 "," 1,531 "
ERR2221337,Bifidobacterium animalis subsp. lactis,Bifidobacterium," 23,672 "," 7,926 ", 869 , 174 ," 40,291 "," 377,859 "," 1,371 "," 1,894 "," 1,492 "," 13,761 "
ERR2221338,Staphylococcus epidermidis,Staphylococcus," 172,731 ", 568 ," 5,250 ", 149 ," 13,115 "," 87,896 "," 4,795 ", 409 ," 4,853 "," 1,508 "
ERR2221341,Enterococcus faecalis,Enterococcus, 515 ," 1,361,036 "," 1,633 "," 13,903 "," 17,842 "," 3,939 "," 17,016 "," 11,159 ", 109 ," 15,808 "
ERR2221342,Enterococcus casseliflavus,Enterococcus," 36,959 "," 6,764 "," 57,632 "," 3,668 "," 1,204 "," 96,551 "," 2,812 "," 133,150 "," 17,682 "," 19,753 "
ERR2221345,Clostridium subterminale,Clostridium," 28,018 ", 632 ," 8,319 "," 315,396 "," 2,639 "," 20,824 "," 1,874 "," 137,533 ", 765 ," 7,483 "
ERR2221346,Enterococcus faecalis,Enterococcus," 6,457 "," 9,411 "," 29,826 "," 16,675 "," 1,372 "," 5,598 "," 150,330 "," 1,559 "," 1,408 "," 9,339 "
ERR2221347,Enterococcus gallinarum,Enterococcus," 3,080 "," 3,423 "," 48,431 "," 22,440 ", 162 ," 354,021 "," 26,217 "," 17,533 "," 4,610 "," 9,247 "
ERR2221348,Klebsiella oxytoca,Klebsiella," 2,200 "," 2,166 "," 2,765 "," 29,576 "," 1,339 "," 126,330 "," 65,332 "," 37,221 ", 501 ," 27,703 "
ERR2221350,Klebsiella oxytoca,Klebsiella, 788 ," 14,485 "," 1,578 "," 4,809 "," 2,673 "," 78,328 "," 42,580 "," 5,422 "," 2,644 "," 1,670 "
ERR2221351,Bifidobacterium longum,Bifidobacterium, 497 ," 6,936 ", 765 ," 21,356 "," 3,298 "," 10,228 "," 13,102 "," 6,708 "," 1,054 "," 10,817 "
ERR2221352,Citrobacter freundii,Citrobacter," 27,435 "," 34,011 ", 290 ," 3,062 "," 3,696 "," 11,830 "," 1,346 "," 7,510 "," 3,499 "," 3,582 "
ERR2221353,Streptococcus parasanguinis,Streptococcus," 24,588 "," 1,530 ", 282 , 847 ," 32,452 "," 19,891 "," 2,378 "," 13,095 "," 1,460 ", 630 
ERR2221355,Lactobacillus ruminis,Lactobacillus," 1,171 "," 158,637 ", 797 , 670 ," 1,505 "," 18,276 "," 20,346 "," 12,429 "," 59,609 ", 729 
ERR2221356,uncultured Actinomyces sp.,Actinomyces," 2,342 ", 248 ," 7,311 "," 258,160 "," 40,985 "," 2,076 "," 130,936 "," 3,057 "," 28,146 "," 23,509 "
ERR2221357,Bacteroides caccae,Bacteroides," 109,267 "," 5,764 ", 494 ," 1,944 "," 6,161 "," 1,467 "," 2,486 ", 542 ," 1,061 "," 74,413 "
ERR2221358,uncultured Streptococcus sp.,Streptococcus," 2,427 "," 10,774 "," 1,053 "," 22,262 ", 154 ," 28,640 "," 71,429 "," 9,448 ", 560 , 139 
ERR2221359,Streptococcus salivarius,Streptococcus," 1,357 "," 49,588 "," 98,001 "," 8,227 "," 3,520 "," 3,947 "," 5,919 "," 9,205 "," 2,184 "," 21,408 "
ERR2221360,Streptococcus parasanguinis,Streptococcus," 41,496 ", 309 ," 7,429 "," 9,381 "," 38,484 "," 28,085 "," 37,290 "," 3,763 "," 176,128 "," 8,167 "
ERR2221361,Clostridium subterminale,Clostridium, 834 , 447 ," 1,846 ", 330 ," 2,953 "," 1,738 "," 1,455 "," 4,268 ", 194 ," 41,661 "
ERR2221362,Enterococcus gallinarum,Enterococcus," 4,634 "," 124,649 ", 42 ," 4,209 "," 1,643 "," 1,829 "," 1,080 ", 255 ," 2,397 "," 197,498 "
ERR2221363,Exiguobacterium sibiricum,Exiguobacterium," 8,336 "," 9,684 "," 8,018 "," 7,005 "," 47,597 ", 540 ," 105,985 "," 2,487 "," 1,820 ", 502 
ERR2221364,Exiguobacterium sibiricum,Exiguobacterium," 13,193 "," 18,270 "," 42,098 "," 28,823 ", 169 ," 10,258 "," 1,324 "," 104,274 "," 434,311 "," 121,991 "
ERR2221368,Klebsiella pneumoniae,Klebsiella," 13,204 ", 894 ," 2,685 ", 513 ," 15,799 "," 54,272 "," 66,287 "," 102,212 "," 2,864 "," 140,724 "
ERR2221370,uncultured Blautia sp.,Blautia," 2,735 "," 204,775 "," 13,224 "," 3,518 ", 475 , 311 ," 9,419 ", 993 ," 109,322 "," 2,061 "
ERR2221371,Peptoniphilus asaccharolyticus,Peptoniphilus," 1,050 "," 5,028 "," 75,671 ", 204 ," 87,025 "," 54,755 "," 3,634 "," 1,190 "," 574,798 "," 4,628 "
ERR2221372,Klebsiella pneumoniae,Klebsiella," 6,032 "," 11,165 "," 13,092 "," 5,640 "," 74,372 "," 7,533 "," 1,004 "," 1,300 "," 17,022 ", 144 
ERR2221374,uncultured Odoribacter sp.,Odoribacter," 6,668 "," 3,649 ", 63 ," 23,774 "," 2,105 "," 135,630 ", 651 , 827 ," 8,126 "," 6,929 "
ERR2221375,uncultured Bacteroides sp.,Bacteroides," 19,487 "," 26,115 ", 715 ," 76,326 "," 37,396 "," 9,485 "," 1,467 ", 417 ," 3,774 ", 65 
ERR2221376,Alistipes shahii,Alistipes, 239 ," 2,068 "," 6,820 "," 2,609 "," 15,672 "," 6,457 "," 5,889 "," 1,498 "," 26,477 "," 6,356 "
ERR2221377,Alistipes indistinctus,Alistipes," 1,815 "," 399,698 ", 733 ," 54,578 "," 5,845 "," 5,229 "," 1,377 "," 3,348 "," 3,773 "," 3,467 "
ERR2221380,uncultured Blautia sp.,Blautia," 44,097 "," 101,536 "," 1,537 "," 4,264 "," 17,946 "," 10,669 ", 950 ," 7,693 "," 1,482 "," 5,803 "
ERR2221381,Clostridium tertium,Clostridium," 6,914 ", 88 ," 1,898 "," 38,537 ", 783 ," 3,897 "," 119,873 "," 2,470 "," 6,698 "," 5,295 "
ERR2221382,Pediococcus acidilactici,Pediococcus, 107 ," 1,266 ", 352 ," 7,543 "," 38,999 "," 30,933 "," 35,434 ", 843 ," 83,809 "," 3,692 "
ERR2221383,Clostridium tyrobutyricum,Clostridium," 11,242 "," 4,114 "," 1,761 "," 14,767 "," 1,489 "," 36,001 "," 2,233 "," 23,122 "," 59,786 ", 207 
ERR2221384,Lactobacillus rhamnosus,Lactobacillus, 147 , 140 ," 1,475,820 "," 121,320 "," 1,016 "," 16,529 "," 75,956 ", 860 , 919 , 259 
ERR2221385,Bifidobacterium animalis subsp. lactis,Bifidobacterium," 4,694 ", 531 ," 16,190 ", 187 ," 1,769 "," 8,946 ", 458 , 584 , 206 ," 6,523 "
ERR2221390,Alistipes timonensis,Alistipes," 4,861 "," 1,395 "," 2,060 "," 15,811 "," 4,995 ", 265 ," 5,339 "," 10,532 "," 3,950 "," 10,934 "
ERR2221392,uncultured Alistipes sp.,Alistipes," 99,339 "," 11,469 "," 1,450 "," 506,063 "," 58,809 "," 8,466 "," 2,006 "," 3,140 "," 30,943 "," 17,128 "
ERR2221395,uncultured Peptoniphilus sp.,Peptoniphilus, 829 ," 5,291 "," 10,613 "," 15,708 "," 127,960 ", 673 ," 3,751 "," 25,893 "," 2,788 "," 38,591 "
ERR2221399,Klebsiella oxytoca,Klebsiella," 32,024 "," 1,348 "," 4,791 "," 65,299 ", 854 ," 1,495 "," 54,505 "," 35,438 "," 190,239 "," 8,437 "
ERR2221400,Klebsiella oxytoca,Klebsiella," 43,016 "," 3,709 ", 743 ," 16,495 "," 4,505 "," 24,370 "," 3,006 "," 180,448 "," 1,259,139 ", 231 
ERR2221403,Enterococcus gallinarum,Enterococcus," 22,737 "," 1,409,574 "," 14,348 ", 340 ," 171,084 ", 246 ," 3,920 "," 13,365 "," 1,063 "," 1,781 "
ERR2221404,uncultured Blautia sp.,Blautia," 228,534 "," 45,598 "," 1,102 "," 3,312 "," 12,778 ", 755 ," 24,060 "," 1,010 "," 9,751 "," 1,680 "
ERR2221405,uncultured Bacteroides sp.,Bacteroides," 66,110 "," 13,112 "," 1,441 "," 12,834 "," 6,788 "," 1,966 "," 15,092 "," 11,357 "," 7,331 "," 1,191 "
ERR2221406,Lactobacillus gasseri,Lactobacillus," 113,067 "," 20,747 "," 267,187 "," 4,642 "," 3,615 "," 3,878 "," 35,755 "," 14,885 ", 465 ," 706,922 "
ERR2221409,uncultured Bifidobacterium sp.,Bifidobacterium, 465 ," 1,410 "," 2,493 ", 953 ," 2,596 "," 9,693 ", 275 ," 7,047 "," 2,162 "," 1,361 "
ERR2221410,Blautia glucerasea,Blautia," 6,039 "," 5,366 "," 7,469 "," 3,054 "," 391,220 "," 20,335 "," 2,298 "," 6,992 ", 244 ," 258,913 "
ERR2230051,Bifidobacterium breve,Bifidobacterium," 16,922 "," 7,669 ", 403 ," 2,027 "," 15,896 "," 24,488 ", 665 ," 8,618 "," 59,995 "," 3,055 "
ERR2230052,Bifidobacterium longum,Bifidobacterium, 218 ," 1,691 "," 13,221 "," 163,805 "," 3,687 ", 435 ," 9,245 "," 9,506 "," 604,566 "," 5,130 "
ERR2230053,Bifidobacterium adolescentis,Bifidobacterium," 1,207 "," 1,748 "," 7,839 "," 1,782 "," 14,016 "," 45,891 "," 1,175 "," 59,392 "," 29,428 "," 251,932 "
ERR2230054,Streptococcus lutetiensis,Streptococcus," 3,937 "," 11,909 "," 51,544 "," 80,044 "," 1,370 "," 2,555 "," 87,474 "," 8,394 "," 4,343 "," 6,963 "
ERR2230055,uncultured Ruminococcus sp.,Ruminococcus," 6,026 "," 1,942 "," 1,435 "," 1,451 "," 10,481 "," 11,630 "," 142,752 "," 1,879 "," 5,983 "," 1,950 "
ERR2230062,Bacteroides stercoris,Bacteroides," 38,401 "," 3,063 "," 9,536 "," 3,313 "," 1,283 "," 6,476 "," 51,819 "," 24,390 "," 1,214 "," 10,795 "
ERR2230063,Bacteroides ovatus,Bacteroides," 110,642 "," 2,305 "," 1,156,593 "," 9,798 "," 2,778 "," 2,299 "," 3,864 "," 9,993 "," 15,698 "," 3,727 "
ERR2230069,Dorea longicatena,Dorea," 7,147 "," 23,597 "," 8,233 ", 805 ," 33,507 "," 38,249 "," 3,524 "," 12,130 "," 73,094 "," 10,606 "
ERR2230072,uncultured Blautia sp.,Blautia," 2,117 "," 11,490 "," 3,970 "," 2,705 ", 683 ," 1,327 "," 4,300 "," 65,646 "," 38,521 "," 4,571 "
ERR2230074,Bacteroides clarus,Bacteroides," 32,593 "," 2,379 "," 9,789 "," 179,308 ", 57 ," 200,232 "," 3,085 "," 2,905 "," 1,840 "," 25,375 "
ERR2230078,Collinsella aerofaciens,Collinsella," 2,608 "," 2,468 "," 382,564 "," 25,170 "," 17,595 ", 396 ," 3,032 ", 830 ," 72,228 "," 37,221 "
