"Supplementary Table S1. Metadata of the 2,505 genomes used as reference to train the species classification model",,,,,,,,,,,,,
Genome,Source,Species label,Assignment level1,Phylum,Class,Order,Family,Genus,Species2, Genome size (bp) ,# Contigs, N50 (bp) ,GC (%)
UMGS1022,UMGS,576,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,069,327 ",80," 36,082 ",60.19
UMGS1023,UMGS,577,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,930,887 ",208," 14,662 ",60.54
UMGS1024,UMGS,578,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,779,410 ",83," 30,759 ",54.99
UMGS1025,UMGS,579,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 2,430,516 ",99," 37,587 ",50.62
UMGS1026,UMGS,580,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,036,657 ",238," 11,149 ",60.23
UMGS1027,UMGS,581,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,746,475 ",337," 6,340 ",40.76
UMGS1028,UMGS,582,Genus,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,-," 2,149,923 ",163," 17,779 ",34.32
UMGS1029,UMGS,583,Genus,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,-," 1,547,704 ",30," 90,112 ",37.63
UMGS1030,UMGS,584,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,882,891 ",215," 12,387 ",60.08
UMGS1031,UMGS,585,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,013,072 ",62," 43,431 ",59.95
UMGS1032,UMGS,586,Phylum,Tenericutes,NA,NA,NA,NA,-," 924,429 ",79," 16,119 ",24.46
UMGS1033,UMGS,587,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,517,849 ",274," 12,476 ",49.67
UMGS1034,UMGS,588,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,292,569 ",83," 47,084 ",59.48
UMGS1035,UMGS,589,None,NA,NA,NA,NA,NA,-," 3,452,514 ",236," 21,518 ",66.55
UMGS1036,UMGS,590,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 3,667,010 ",294," 19,693 ",45.45
UMGS1037,UMGS,591,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,883,725 ",67," 43,245 ",46.79
UMGS1038,UMGS,592,Genus,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,Massiliomicrobiota,-," 2,583,088 ",212," 18,675 ",31.45
UMGS1039,UMGS,593,None,NA,NA,NA,NA,NA,-," 2,272,392 ",15," 250,537 ",36.18
UMGS1040,UMGS,594,None,NA,NA,NA,NA,NA,-," 1,865,409 ",15," 204,452 ",32.11
UMGS1041,UMGS,595,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,529,703 ",11," 166,101 ",46.74
UMGS1042,UMGS,596,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,696,600 ",80," 31,153 ",46.89
UMGS1043,UMGS,597,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,574,971 ",26," 82,675 ",47.90
UMGS1044,UMGS,598,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,746,596 ",310," 11,266 ",54.20
UMGS1045,UMGS,599,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,526,856 ",73," 31,982 ",25.69
UMGS1046,UMGS,600,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella,-," 1,491,659 ",99," 20,277 ",54.01
UMGS1047,UMGS,601,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,762,513 ",222," 9,852 ",60.35
UMGS1048,UMGS,602,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,702,559 ",107," 40,901 ",58.69
UMGS1049,UMGS,603,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter,-," 2,869,192 ",463," 7,734 ",40.63
UMGS104,UMGS,604,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,105,102 ",49," 63,870 ",59.78
UMGS1050,UMGS,605,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,545,861 ",185," 12,039 ",42.10
UMGS1051,UMGS,606,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,-," 1,423,875 ",82," 26,498 ",47.59
UMGS1052,UMGS,607,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,137,677 ",88," 37,811 ",52.11
UMGS1053,UMGS,608,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,-," 2,503,890 ",59," 60,449 ",40.90
UMGS1054,UMGS,609,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,311,897 ",115," 27,311 ",56.83
UMGS1055,UMGS,610,Genus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,-," 2,790,038 ",178," 21,658 ",64.32
UMGS1056,UMGS,611,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,284,950 ",368," 7,967 ",56.43
UMGS1057,UMGS,612,Order,Verrucomicrobia,Opitutae,Opitutales,NA,NA,-," 2,438,738 ",79," 47,663 ",58.39
UMGS1058,UMGS,613,None,NA,NA,NA,NA,NA,-," 2,093,808 ",131," 25,611 ",59.04
UMGS1059,UMGS,614,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,-," 2,754,640 ",150," 26,673 ",42.88
UMGS1060,UMGS,615,Family,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,NA,-," 2,119,686 ",158," 24,371 ",44.13
UMGS1061,UMGS,616,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 2,817,086 ",272," 14,940 ",43.44
UMGS1062,UMGS,617,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,522,669 ",122," 43,130 ",44.49
UMGS1063,UMGS,618,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,701,309 ",183," 20,628 ",45.42
UMGS1064,UMGS,619,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,-," 3,224,171 ",354," 13,356 ",42.72
UMGS1065,UMGS,620,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 2,047,982 ",112," 27,280 ",54.27
UMGS1066,UMGS,621,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,-," 2,319,952 ",111," 27,096 ",48.24
UMGS1067,UMGS,622,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,-," 2,306,754 ",282," 10,916 ",43.26
UMGS1068,UMGS,623,Genus,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,-," 3,323,268 ",290," 22,134 ",29.55
UMGS1069,UMGS,624,Order,Verrucomicrobia,Opitutae,Opitutales,NA,NA,-," 2,303,755 ",54," 58,418 ",54.73
UMGS106,UMGS,625,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,569,422 ",27," 142,673 ",54.91
UMGS1070,UMGS,626,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,226,789 ",206," 16,658 ",43.69
UMGS1071,UMGS,627,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,746,683 ",61," 71,182 ",37.36
UMGS1072,UMGS,628,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,888,544 ",82," 33,898 ",46.48
UMGS1073,UMGS,629,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,-," 2,733,305 ",52," 70,074 ",49.28
UMGS1074,UMGS,630,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,031,555 ",142," 21,039 ",60.13
UMGS1075,UMGS,631,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,022,846 ",126," 23,758 ",60.00
UMGS1077,UMGS,632,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,910,001 ",38," 76,396 ",60.30
UMGS1078,UMGS,633,Order,Cyanobacteria,Melainabacteria,Gastranaerophilales,NA,NA,-," 1,984,992 ",89," 38,309 ",33.98
UMGS1079,UMGS,634,Order,Cyanobacteria,Melainabacteria,Gastranaerophilales,NA,NA,-," 1,882,926 ",39," 80,538 ",32.80
UMGS107,UMGS,635,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,-," 2,045,709 ",65," 40,647 ",53.10
UMGS1080,UMGS,636,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella,-," 1,966,948 ",99," 32,686 ",65.73
UMGS1081,UMGS,637,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,136,162 ",51," 32,431 ",26.61
UMGS1082,UMGS,638,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,092,459 ",63," 67,637 ",60.01
UMGS1083,UMGS,639,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,101,439 ",101," 36,919 ",64.00
UMGS1084,UMGS,640,None,NA,NA,NA,NA,NA,-," 4,518,424 ",77," 90,633 ",53.47
UMGS1085,UMGS,641,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,-," 1,479,640 ",286," 6,095 ",54.62
UMGS1086,UMGS,642,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,032,254 ",128," 20,433 ",60.42
UMGS1087,UMGS,643,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,473,301 ",73," 73,142 ",60.86
UMGS1088,UMGS,644,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,911,084 ",63," 108,696 ",29.68
UMGS1089,UMGS,645,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,008,698 ",121," 26,339 ",60.29
UMGS108,UMGS,646,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,476,225 ",60," 59,020 ",44.78
UMGS1091,UMGS,647,Genus,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,-," 2,224,250 ",100," 41,788 ",60.63
UMGS1092,UMGS,648,Genus,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,-," 1,894,833 ",302," 7,661 ",36.29
UMGS1093,UMGS,649,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 1,588,435 ",161," 13,606 ",58.00
UMGS1094,UMGS,650,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,105,235 ",155," 19,819 ",60.29
UMGS1095,UMGS,651,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,056,100 ",149," 22,729 ",59.85
UMGS1096,UMGS,652,Genus,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,-," 2,788,948 ",117," 46,426 ",34.62
UMGS1097,UMGS,653,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,120,813 ",92," 65,590 ",43.89
UMGS1098,UMGS,654,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,890,000 ",182," 14,479 ",38.72
UMGS1099,UMGS,655,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,061,960 ",162," 18,139 ",59.64
UMGS109,UMGS,656,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,678,871 ",54," 79,372 ",50.82
UMGS1100,UMGS,657,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,925,820 ",220," 12,554 ",60.09
UMGS1101,UMGS,658,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,149,943 ",67," 50,228 ",57.18
UMGS1102,UMGS,659,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 6,712,894 ",121," 88,644 ",48.21
UMGS1103,UMGS,660,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,854,478 ",139," 32,287 ",46.59
UMGS1104,UMGS,661,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,809,570 ",36," 80,995 ",52.78
UMGS1105,UMGS,662,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 1,969,576 ",71," 42,988 ",52.58
UMGS1106,UMGS,663,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,193,424 ",110," 28,227 ",55.91
UMGS1107,UMGS,664,None,NA,NA,NA,NA,NA,-," 1,932,230 ",17," 208,256 ",32.20
UMGS1108,UMGS,665,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,068,040 ",53," 58,212 ",61.14
UMGS1109,UMGS,666,Class,Tenericutes,Mollicutes,NA,NA,NA,-," 1,602,803 ",50," 54,101 ",30.79
UMGS110,UMGS,667,Family,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI,NA,-," 1,568,464 ",24," 98,266 ",36.11
UMGS1110,UMGS,668,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,410,926 ",14," 193,246 ",28.99
UMGS1111,UMGS,669,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 2,563,882 ",154," 26,678 ",53.60
UMGS1112,UMGS,670,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,879,832 ",262," 9,122 ",61.04
UMGS1113,UMGS,671,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,249,943 ",88," 35,869 ",59.06
UMGS1114,UMGS,672,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,-," 1,782,515 ",202," 12,266 ",55.01
UMGS1115,UMGS,673,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,139,532 ",46," 65,586 ",59.64
UMGS1116,UMGS,674,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,762,327 ",138," 18,204 ",61.22
UMGS1117,UMGS,675,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,069,597 ",107," 29,688 ",60.18
UMGS1118,UMGS,676,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,976,107 ",252," 16,867 ",45.10
UMGS1119,UMGS,677,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,-," 2,256,427 ",276," 10,805 ",41.64
UMGS111,UMGS,678,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,-," 2,242,985 ",48," 62,934 ",51.38
UMGS1120,UMGS,679,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,771,902 ",188," 24,580 ",46.08
UMGS1121,UMGS,680,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella,-," 2,145,101 ",98," 34,800 ",63.35
UMGS1122,UMGS,681,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,718,989 ",133," 18,713 ",55.96
UMGS1123,UMGS,682,None,NA,NA,NA,NA,NA,-," 2,208,757 ",84," 43,563 ",35.63
UMGS1124,UMGS,683,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,209,627 ",55," 33,673 ",23.91
UMGS1125,UMGS,684,None,NA,NA,NA,NA,NA,-," 1,855,444 ",291," 7,807 ",34.50
UMGS1126,UMGS,685,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 3,271,723 ",160," 32,527 ",46.67
UMGS1127,UMGS,686,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,-," 2,569,987 ",168," 22,426 ",43.74
UMGS1128,UMGS,687,Genus,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,-," 2,248,031 ",68," 48,198 ",64.63
UMGS1129,UMGS,688,Genus,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,-," 2,507,357 ",295," 12,365 ",56.82
UMGS112,UMGS,689,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 2,372,676 ",85," 55,560 ",53.00
UMGS1130,UMGS,690,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,-," 3,790,673 ",115," 53,200 ",42.59
UMGS1131,UMGS,691,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,017,244 ",196," 14,737 ",59.94
UMGS1132,UMGS,692,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,342,321 ",128," 28,943 ",56.24
UMGS1133,UMGS,693,Class,Firmicutes,Clostridia,NA,NA,NA,-," 1,418,375 ",289," 5,818 ",58.79
UMGS1134,UMGS,694,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 6,990,189 ",142," 90,667 ",48.26
UMGS1135,UMGS,695,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,547,259 ",128," 49,963 ",40.45
UMGS1136,UMGS,696,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,969,990 ",49," 61,398 ",53.45
UMGS1137,UMGS,697,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,-," 5,771,504 ",536," 14,696 ",43.50
UMGS1138,UMGS,698,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 2,677,708 ",84," 53,524 ",42.46
UMGS1139,UMGS,699,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,957,495 ",242," 10,588 ",59.94
UMGS113,UMGS,700,Genus,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,-," 1,890,992 ",58," 51,138 ",41.46
UMGS1140,UMGS,701,Genus,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,-," 1,987,468 ",35," 76,213 ",38.66
UMGS1141,UMGS,702,Genus,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,-," 1,894,829 ",38," 84,536 ",38.08
UMGS1142,UMGS,703,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella,-," 1,622,375 ",156," 12,238 ",44.88
UMGS1143,UMGS,704,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,696,671 ",147," 15,960 ",51.52
UMGS1144,UMGS,705,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,670,539 ",95," 46,426 ",58.36
UMGS1145,UMGS,706,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 2,781,487 ",45," 99,616 ",55.13
UMGS1146,UMGS,707,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,178,941 ",111," 25,437 ",59.96
UMGS1147,UMGS,708,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,282,653 ",54," 36,779 ",25.48
UMGS1148,UMGS,709,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,072,805 ",152," 18,582 ",46.93
UMGS1149,UMGS,710,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,173,298 ",25," 61,820 ",27.98
UMGS1151,UMGS,711,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,123,046 ",209," 22,352 ",44.54
UMGS1152,UMGS,712,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,832,944 ",63," 48,846 ",60.02
UMGS1153,UMGS,713,None,NA,NA,NA,NA,NA,-," 2,819,812 ",520," 6,475 ",56.77
UMGS1154,UMGS,714,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,948,094 ",200," 12,861 ",60.12
UMGS1155,UMGS,715,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 3,285,090 ",274," 17,931 ",50.68
UMGS1156,UMGS,716,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 2,700,942 ",136," 28,622 ",43.63
UMGS1157,UMGS,717,Genus,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,-," 1,918,558 ",196," 13,793 ",47.77
UMGS1158,UMGS,718,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,832,034 ",43," 119,457 ",47.63
UMGS1159,UMGS,719,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,410,461 ",66," 34,774 ",27.22
UMGS115,UMGS,720,Class,Tenericutes,Mollicutes,NA,NA,NA,-," 1,637,568 ",6," 546,369 ",28.62
UMGS1160,UMGS,721,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,868,237 ",248," 10,436 ",59.81
UMGS1161,UMGS,722,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,922,254 ",192," 13,653 ",60.10
UMGS1162,UMGS,723,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 3,091,319 ",332," 14,388 ",42.51
UMGS1163,UMGS,724,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,020,767 ",173," 15,882 ",57.09
UMGS1164,UMGS,725,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 3,157,276 ",207," 20,506 ",51.60
UMGS1165,UMGS,726,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,104,086 ",211," 15,856 ",60.06
UMGS1166,UMGS,727,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,838,937 ",266," 9,514 ",60.09
UMGS1167,UMGS,728,Family,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,-," 3,125,549 ",193," 24,277 ",63.08
UMGS1168,UMGS,729,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 2,924,463 ",423," 8,819 ",58.09
UMGS1169,UMGS,730,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,376,790 ",75," 82,829 ",49.75
UMGS116,UMGS,731,Class,Tenericutes,Mollicutes,NA,NA,NA,-," 1,762,340 ",48," 63,115 ",27.63
UMGS1170,UMGS,732,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,475,101 ",59," 50,997 ",47.48
UMGS1171,UMGS,733,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,224,856 ",56," 39,027 ",26.61
UMGS1172,UMGS,734,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,188,899 ",34," 50,126 ",27.16
UMGS1173,UMGS,735,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,679,850 ",309," 6,679 ",59.82
UMGS1174,UMGS,736,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,918,249 ",266," 8,650 ",59.94
UMGS1175,UMGS,737,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,179,033 ",112," 27,967 ",56.21
UMGS1177,UMGS,738,None,NA,NA,NA,NA,NA,-," 1,978,596 ",8," 464,336 ",30.60
UMGS1178,UMGS,739,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,046,203 ",101," 28,845 ",62.04
UMGS1179,UMGS,740,Order,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,-," 2,601,385 ",232," 15,149 ",50.85
UMGS117,UMGS,741,Genus,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,-," 1,988,612 ",39," 83,064 ",57.75
UMGS1180,UMGS,742,Order,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,-," 811,506 ",88," 12,592 ",45.82
UMGS1181,UMGS,743,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,-," 1,592,848 ",229," 8,455 ",47.44
UMGS1182,UMGS,744,None,NA,NA,NA,NA,NA,-," 3,475,548 ",99," 57,928 ",55.07
UMGS1183,UMGS,745,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,006,528 ",123," 21,956 ",60.17
UMGS1184,UMGS,746,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,846,973 ",206," 12,213 ",59.90
UMGS1185,UMGS,747,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,170,728 ",38," 45,228 ",27.20
UMGS1186,UMGS,748,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,656,085 ",281," 7,964 ",60.39
UMGS1187,UMGS,749,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,732,272 ",179," 13,579 ",58.18
UMGS1188,UMGS,750,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,700,049 ",55," 90,147 ",57.24
UMGS1189,UMGS,751,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,-," 1,260,934 ",48," 47,437 ",47.96
UMGS118,UMGS,752,Genus,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,-," 1,704,884 ",37," 72,718 ",39.27
UMGS1190,UMGS,753,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,908,924 ",185," 14,308 ",59.71
UMGS1191,UMGS,754,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,450,387 ",264," 12,856 ",54.28
UMGS1192,UMGS,755,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,314,351 ",69," 46,965 ",52.14
UMGS1193,UMGS,756,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,039,754 ",282," 9,906 ",56.85
UMGS1195,UMGS,757,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,964,585 ",442," 8,303 ",37.74
UMGS1196,UMGS,758,Genus,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,-," 3,944,563 ",259," 21,625 ",66.04
UMGS1197,UMGS,759,Genus,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,-," 1,995,240 ",213," 15,031 ",29.87
