"Supplementary Table S2. Metadata of the 3,269 high quality MAGs used to benchmark the read-level specificity and sensitivity of different species classification models ",,,,,,,,,,,,,,,,,,,
MAG_ID_ENA,Completeness (%),Closest reference,Species label, Reference genome size (bp) ,Reference genome covered (%),CheckM lineage (reference),Phylum (reference),Class (reference),Order (reference),Family (reference),Genus (reference), MAG genome size (bp) ,MAG aligned to reference (%),ANI between MAG and reference (%),Mash distance between MAG and reference,Most similar reference covered (%),Reference aligned to most similar reference (%),ANI between reference and most similar reference (%),Mash distance between reference and most similar reference
MAG-GUT13549,97.85,UMGS148,1065," 1,916,515 ",90.63,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,796,643 ",96.56,98.91,0.01,22.41,19.21,83.79,0.20
MAG-GUT1355,100.00,GCF_000411535,426," 2,071,607 ",86.97,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_atypica,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,973,758 ",91.22,96.70,0.03,76.81,73.16,89.52,0.08
MAG-GUT1362,99.63,20298_3_11,158," 2,754,334 ",91.11,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,759,582 ",90.58,99.09,0.01,2.77,2.91,85.76,0.23
MAG-GUT13633,98.63,21673_4_22,201," 2,827,949 ",81.41,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,638,745 ",86.61,97.87,0.03,81.78,64.89,89.46,0.09
MAG-GUT13637,90.94,UMGS117,741," 1,988,612 ",80.37,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 1,640,109 ",97.44,99.64,0.01,75.83,94.44,94.31,0.06
MAG-GUT13646,96.74,UMGS84,2341," 2,060,446 ",85.45,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 2,254,175 ",77.76,96.92,0.03,70.23,65.52,90.24,0.08
MAG-GUT1368,99.63,20298_3_11,158," 2,754,334 ",90.97,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,722,090 ",91.68,99.09,0.01,2.77,2.91,85.76,0.23
MAG-GUT13704,94.30,14207_7_9,112," 3,035,220 ",80.60,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,589,464 ",94.26,99.09,0.01,26.84,26.34,89.17,0.14
MAG-GUT1370,99.63,20298_2_33,149," 2,847,512 ",85.70,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,761,055 ",86.97,99.59,0.01,77.86,77.88,94.64,0.05
MAG-GUT13734,94.22,18048_1_70,121," 3,012,248 ",70.89,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,431,687 ",87.28,97.82,0.03,66.62,59.66,88.05,0.11
MAG-GUT13749,94.61,UMGS14,1077," 2,278,300 ",77.64,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera," 1,936,559 ",90.92,97.99,0.02,77.35,60.90,87.83,0.11
MAG-GUT1377,99.35,GCF_000026505,228," 3,010,111 ",83.82,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_rhamnosus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 2,886,672 ",86.38,97.49,0.03,0.82,1.10,91.46,0.23
MAG-GUT13790,94.63,UMGS130,878," 2,803,158 ",78.77,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,252,073 ",97.27,98.57,0.02,36.54,34.52,86.50,0.15
MAG-GUT13816,99.38,GCF_000186505,327," 2,965,437 ",87.24,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,683,347 ",95.51,98.42,0.02,6.20,4.51,87.03,0.21
MAG-GUT13830,100.00,GCF_000163735,310," 2,174,425 ",87.77,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,114,064 ",90.24,96.54,0.03,72.47,53.88,88.75,0.10
MAG-GUT1384,99.46,GCF_000026505,228," 3,010,111 ",83.26,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_rhamnosus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 2,918,705 ",85.58,97.47,0.03,0.82,1.10,91.46,0.23
MAG-GUT13851,97.27,UMGS185,1450," 2,201,228 ",87.89,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,164,542 ",89.32,97.50,0.02,77.63,78.57,88.77,0.09
MAG-GUT13856,99.04,11861_6_61,2," 2,376,935 ",87.91,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes," 2,130,017 ",98.01,99.45,0.01,1.17,1.61,95.19,0.18
MAG-GUT13881,91.88,UMGS117,741," 1,988,612 ",66.94,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 1,371,926 ",97.07,99.48,0.02,75.83,94.44,94.31,0.06
MAG-GUT13897,96.41,UMGS39,1871," 2,822,385 ",82.52,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium," 2,419,009 ",95.98,98.66,0.02,4.24,4.36,87.15,0.21
MAG-GUT1389,99.19,GCF_000191845,335," 3,362,931 ",84.45,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella," 3,386,112 ",83.76,98.44,0.02,31.86,35.16,87.24,0.14
MAG-GUT1391,99.63,20298_2_33,149," 2,847,512 ",85.92,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,755,607 ",87.42,99.59,0.01,77.86,77.88,94.64,0.05
MAG-GUT1393,93.51,20298_2_33,149," 2,847,512 ",81.28,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,578,581 ",88.21,99.59,0.01,77.86,77.88,94.64,0.05
MAG-GUT13955,93.04,UMGS12,867," 2,229,238 ",79.85,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 1,926,404 ",92.12,98.97,0.01,89.95,53.27,92.01,0.08
MAG-GUT1396,99.41,20298_3_11,158," 2,754,334 ",91.99,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,803,211 ",90.03,99.06,0.01,2.77,2.91,85.76,0.23
MAG-GUT13987,95.18,14207_7_9,112," 3,035,220 ",77.23,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,451,920 ",95.33,99.08,0.01,26.84,26.34,89.17,0.14
MAG-GUT13999,98.20,GCF_000163735,310," 2,174,425 ",86.07,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,061,348 ",90.73,96.52,0.03,72.47,53.88,88.75,0.10
MAG-GUT14027,91.65,UMGS493,1971," 3,214,400 ",90.59,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella," 3,042,198 ",95.29,99.94,0.00,63.53,40.86,87.06,0.13
MAG-GUT14050,98.12,UMGS117,741," 1,988,612 ",95.52,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,389,307 ",79.57,99.38,0.01,75.83,94.44,94.31,0.06
MAG-GUT14072,92.56,UMGS129,866," 2,818,218 ",73.74,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_2;g__Clostridium_2,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium," 2,513,109 ",82.37,96.96,0.03,51.54,64.73,90.84,0.08
MAG-GUT14112,97.85,UMGS148,1065," 1,916,515 ",87.35,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,696,203 ",98.50,98.98,0.01,22.41,19.21,83.79,0.20
MAG-GUT14114,97.26,21673_4_22,201," 2,827,949 ",79.40,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,548,316 ",87.54,97.88,0.03,81.78,64.89,89.46,0.09
MAG-GUT14116,90.69,UMGS84,2341," 2,060,446 ",80.63,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 1,984,836 ",83.23,96.93,0.03,70.23,65.52,90.24,0.08
MAG-GUT14125,90.94,UMGS117,741," 1,988,612 ",80.36,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 1,640,045 ",97.44,99.64,0.01,75.83,94.44,94.31,0.06
MAG-GUT14159,97.60,UMGS69,2182," 2,418,387 ",86.73,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera," 2,272,628 ",92.33,98.71,0.01,11.59,12.38,83.61,0.18
MAG-GUT14172,100.00,GCF_000186505,327," 2,965,437 ",87.31,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,787,325 ",92.08,97.00,0.03,6.20,4.51,87.03,0.21
MAG-GUT14250,98.12,UMGS117,741," 1,988,612 ",96.24,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,346,180 ",81.64,99.58,0.01,75.83,94.44,94.31,0.06
MAG-GUT14257,90.86,UMGS173,1328," 2,657,918 ",77.54,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium," 2,464,263 ",83.43,98.88,0.02,5.53,5.90,84.85,0.21
MAG-GUT14283,93.29,14207_7_9,112," 3,035,220 ",74.06,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,376,570 ",94.27,98.42,0.02,26.84,26.34,89.17,0.14
MAG-GUT14308,99.33,UMGS42,1904," 3,004,049 ",98.22,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,982,961 ",98.79,99.99,0.00,46.71,45.82,88.73,0.12
MAG-GUT14364,93.96,21673_4_5,211," 3,315,322 ",83.88,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 2,875,100 ",96.22,98.51,0.02,2.95,3.53,96.98,0.17
MAG-GUT14383,95.92,18048_1_70,121," 3,012,248 ",69.07,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,314,459 ",89.21,97.80,0.03,66.62,59.66,88.05,0.11
MAG-GUT14468,96.64,UMGS81,2310," 2,147,437 ",82.68,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,114,258 ",84.09,98.14,0.02,2.53,2.50,81.54,0.24
MAG-GUT14477,94.22,UMGS280,1748," 2,372,101 ",80.06,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,278,928 ",83.31,97.84,0.02,59.00,66.14,87.53,0.11
MAG-GUT14523,97.26,21673_4_22,201," 2,827,949 ",75.54,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,439,592 ",86.91,97.78,0.03,81.78,64.89,89.46,0.09
MAG-GUT14532,97.50,UMGS117,741," 1,988,612 ",90.84,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,146,413 ",84.22,99.50,0.01,75.83,94.44,94.31,0.06
MAG-GUT1453,100.00,GCF_000413335,428," 2,741,290 ",84.82,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,563,376 ",90.77,98.40,0.02,43.40,39.43,84.88,0.18
MAG-GUT1455,99.81,20298_3_3,178," 2,560,878 ",88.04,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,332,106 ",96.22,99.45,0.01,5.92,6.80,83.75,0.23
MAG-GUT14572,99.38,GCF_000186505,327," 2,965,437 ",86.95,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,671,879 ",95.55,98.41,0.02,6.20,4.51,87.03,0.21
MAG-GUT1457,94.00,20298_2_33,149," 2,847,512 ",78.24,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,523,759 ",86.84,99.45,0.01,77.86,77.88,94.64,0.05
MAG-GUT14640,95.93,UMGS185,1450," 2,201,228 ",84.74,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,044,559 ",90.97,97.54,0.03,77.63,78.57,88.77,0.09
MAG-GUT14645,99.04,11861_6_61,2," 2,376,935 ",87.48,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes," 2,133,186 ",97.21,99.46,0.01,1.17,1.61,95.19,0.18
MAG-GUT14683,98.63,21673_4_22,201," 2,827,949 ",80.05,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,631,377 ",84.99,97.94,0.02,81.78,64.89,89.46,0.09
MAG-GUT14705,95.28,21673_4_5,211," 3,315,322 ",81.78,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 2,896,777 ",93.13,98.45,0.02,2.95,3.53,96.98,0.17
MAG-GUT1470,97.60,UMGS16,1286," 2,094,981 ",97.39,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,133,608 ",95.71,99.99,0.00,93.79,60.69,94.37,0.05
MAG-GUT14711,98.11,21673_4_5,211," 3,315,322 ",86.57,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 2,982,728 ",95.82,98.59,0.02,2.95,3.53,96.98,0.17
MAG-GUT14733,98.83,GCF_000155205,248," 2,731,235 ",76.94,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus," 2,158,059 ",95.26,98.96,0.01,12.51,15.65,87.44,0.16
MAG-GUT14741,92.22,GCF_000411395,422," 2,287,856 ",83.28,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus," 2,089,817 ",90.76,99.48,0.01,89.41,82.22,92.68,0.06
MAG-GUT14745,93.26,UMGS61,2096," 2,301,291 ",81.29,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister," 2,154,575 ",84.61,96.92,0.03,62.93,66.93,87.88,0.11
MAG-GUT1477,98.92,20298_3_11,158," 2,754,334 ",89.75,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,703,746 ",91.11,99.15,0.01,2.77,2.91,85.76,0.23
MAG-GUT1479,94.23,20298_2_33,149," 2,847,512 ",74.54,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,287,003 ",91.16,99.49,0.01,77.86,77.88,94.64,0.05
MAG-GUT14827,93.67,UMGS12,867," 2,229,238 ",85.11,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,076,363 ",91.04,98.93,0.01,89.95,53.27,92.01,0.08
MAG-GUT1485,93.62,20298_3_1,165," 2,484,103 ",88.33,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_acnes,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,336,050 ",93.87,97.61,0.02,39.42,43.38,84.88,0.18
MAG-GUT1488,99.11,20298_3_3,178," 2,560,878 ",87.60,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,303,537 ",96.86,98.89,0.01,5.92,6.80,83.75,0.23
MAG-GUT14915,90.32,UMGS148,1065," 1,916,515 ",84.41,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,647,784 ",98.23,98.96,0.01,22.41,19.21,83.79,0.20
MAG-GUT1498,99.63,20298_3_11,158," 2,754,334 ",91.05,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,814,874 ",88.92,98.92,0.01,2.77,2.91,85.76,0.23
MAG-GUT1500,98.55,20298_3_3,178," 2,560,878 ",87.64,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,318,847 ",96.24,98.87,0.01,5.92,6.80,83.75,0.23
MAG-GUT15026,96.88,14207_7_9,112," 3,035,220 ",77.72,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,603,534 ",90.36,98.88,0.02,26.84,26.34,89.17,0.14
MAG-GUT15028,98.66,UMGS87,2373," 1,862,956 ",92.43,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,934,770 ",88.88,97.94,0.02,56.92,57.19,85.15,0.14
MAG-GUT15034,94.52,21673_4_22,201," 2,827,949 ",74.25,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,451,016 ",85.03,97.30,0.03,81.78,64.89,89.46,0.09
MAG-GUT15061,94.61,UMGS14,1077," 2,278,300 ",77.95,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera," 1,929,265 ",91.57,97.93,0.02,77.35,60.90,87.83,0.11
MAG-GUT15068,97.66,GCF_000209405,341," 3,118,216 ",71.62,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus," 2,345,083 ",94.40,99.70,0.01,7.87,11.05,98.46,0.12
MAG-GUT15089,94.01,UMGS14,1077," 2,278,300 ",82.40,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_elsdenii,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera," 1,928,926 ",96.53,99.07,0.01,77.35,60.90,87.83,0.11
MAG-GUT1509,94.73,20298_3_3,178," 2,560,878 ",82.06,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,121,159 ",98.35,98.94,0.01,5.92,6.80,83.75,0.23
MAG-GUT1511,98.88,20298_3_11,158," 2,754,334 ",89.76,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,781,467 ",88.71,98.92,0.01,2.77,2.91,85.76,0.23
MAG-GUT15133,97.65,GCF_000154325,236," 2,697,034 ",88.73,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,560,817 ",91.85,97.91,0.02,72.18,67.58,93.06,0.05
MAG-GUT15156,97.26,21673_4_22,201," 2,827,949 ",78.11,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,488,950 ",87.66,97.28,0.03,81.78,64.89,89.46,0.09
MAG-GUT1516,98.13,20298_3_3,178," 2,560,878 ",87.59,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,302,956 ",96.77,99.43,0.01,5.92,6.80,83.75,0.23
MAG-GUT151,93.92,UMGS84,2341," 2,060,446 ",83.02,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 2,127,351 ",80.34,96.89,0.03,70.23,65.52,90.24,0.08
MAG-GUT15223,97.62,13414_6_3,50," 2,912,566 ",80.59,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 2,516,749 ",93.14,98.74,0.01,2.13,2.16,93.59,0.18
